# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_33  F6V      0.42   0.37   0.28   0.55   0.81   1.04
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      895.930  4.85366e-10
      908.286  1.49615e-09
      920.641  2.80411e-09
      932.996  5.56987e-09
      945.352  8.90150e-09
      957.707  1.27520e-08
      970.062  1.88353e-08
      982.417  2.62366e-08
      994.773  3.69483e-08
      1007.13  4.97545e-08
      1019.48  6.73321e-08
      1031.84  8.81809e-08
      1044.19  1.19503e-07
      1056.55  1.58538e-07
      1068.90  2.11048e-07
      1081.26  2.79443e-07
      1093.61  4.17623e-06
      1105.97  1.14093e-05
      1118.32  1.72664e-05
      1130.68  2.18417e-05
      1143.04  2.76706e-05
      1155.39  3.65920e-05
      1167.75  4.62453e-05
      1180.10  5.66657e-05
      1192.46  6.94133e-05
      1204.81  8.68164e-05
      1217.17  0.000112827
      1229.52  0.000179527
      1241.88  0.000269066
      1254.23  0.000383724
      1266.59  0.000491953
      1278.94  0.000595469
      1291.30  0.000722987
      1303.65  0.000863914
      1316.01   0.00102175
      1328.36   0.00119916
      1340.72   0.00139488
      1353.07   0.00163021
      1365.43   0.00190426
      1377.79   0.00222629
      1390.14   0.00262668
      1402.50   0.00307038
      1414.85   0.00356694
      1427.21   0.00413721
      1439.56   0.00478192
      1451.92   0.00558585
      1464.27   0.00645451
      1476.63   0.00739307
      1488.98   0.00857962
      1501.34    0.0118190
      1513.69    0.0228021
      1526.05    0.0337334
      1538.40    0.0430887
      1550.76    0.0451912
      1563.11    0.0479804
      1575.47    0.0571927
      1587.82    0.0670677
      1600.18    0.0769837
      1612.53    0.0858603
      1624.89    0.0937590
      1637.25     0.100332
      1649.60     0.104669
      1661.96     0.467288
      1674.31      2.02831
      1686.67      3.26457
      1699.02      4.11265
      1711.38      4.74311
      1723.73      5.47665
      1736.09      6.50158
      1748.44      6.76474
      1760.80      6.86727
      1773.15      8.06952
      1785.51      8.46792
      1797.86      7.67245
      1810.22      6.43975
      1822.57      5.57374
      1834.93      6.12729
      1847.28      7.43566
      1859.64      9.10736
      1872.00      10.0109
      1884.35      10.7952
      1896.71      11.6298
      1909.06      12.6532
      1921.42      13.2731
      1933.77      12.0061
      1946.13      11.5042
      1958.48      12.1328
      1970.84      14.4005
      1983.19      16.2958
      1995.55      16.2675
      2007.90      15.4274
      2020.26      14.4339
      2032.61      15.0580
      2044.97      15.2454
      2057.32      15.1938
      2069.68      28.5029
      2082.03      42.3726
      2094.39      41.6344
      2106.74      42.5807
      2119.10      45.4339
      2131.46      44.1981
      2143.81      43.8008
      2156.17      46.8534
      2168.52      46.7162
      2180.88      46.1580
      2193.23      51.3801
      2205.59      54.9651
      2217.94      55.8534
      2230.30      58.9320
      2242.65      60.1501
      2255.01      54.3170
      2267.36      52.2448
      2279.72      52.9643
      2292.07      52.6668
      2304.43      52.3075
      2316.78      52.0726
      2329.14      49.6543
      2341.49      46.0485
      2353.85      41.5090
      2366.20      40.8283
      2378.56      43.8451
      2390.92      44.1586
      2403.27      43.4069
      2415.63      41.9842
      2427.98      50.2862
      2440.34      62.1849
      2452.69      62.1815
      2465.05      59.7535
      2477.40      57.0279
      2489.76      64.2750
      2502.11      71.6283
      2514.47      67.6376
      2526.82      62.7398
      2539.18      58.9060
      2551.53      63.8690
      2563.89      72.2711
      2576.24      83.3703
      2588.60      85.2649
      2600.95      81.2917
      2613.31      71.7513
      2625.67      84.3843
      2638.02      122.472
      2650.38      140.991
      2662.73      150.016
      2675.09      149.404
      2687.44      147.546
      2699.80      144.868
      2712.15      140.061
      2724.51      131.117
      2736.86      116.751
      2749.22      119.018
      2761.57      126.143
      2773.93      125.113
      2786.28      117.164
      2798.64      106.559
      2810.99      128.157
      2823.35      154.769
      2835.70      173.635
      2848.06      179.838
      2860.42      181.820
      2872.77      199.171
      2885.13      217.270
      2897.48      232.858
      2909.84      242.500
      2922.19      247.880
      2934.55      246.430
      2946.90      252.182
      2959.26      263.246
      2971.61      267.155
      2983.97      268.350
      2996.32      267.604
      3008.68      278.922
      3021.03      294.727
      3033.39      304.281
      3045.74      307.493
      3058.10      305.319
      3070.45      315.600
      3082.81      325.339
      3095.16      323.909
      3107.52      332.048
      3119.88      345.172
      3132.23      346.439
      3144.59      343.352
      3156.94      337.718
      3169.30      355.048
      3181.65      377.192
      3194.01      382.153
      3206.36      376.317
      3218.72      362.924
      3231.07      360.915
      3243.43      373.301
      3255.78      410.584
      3268.14      417.683
      3280.49      435.048
      3292.85      457.235
      3305.20      453.680
      3317.56      444.605
      3329.91      441.004
      3342.27      446.001
      3354.62      443.712
      3366.98      438.732
      3379.34      453.849
      3391.69      459.323
      3404.05      453.799
      3416.40      457.926
      3428.76      452.102
      3441.11      443.737
      3453.47      456.224
      3465.82      456.682
      3478.18      451.010
      3490.53      465.094
      3502.89      482.299
      3515.24      477.297
      3527.60      490.794
      3539.95      520.425
      3552.31      515.544
      3564.66      476.811
      3577.02      464.172
      3589.38      494.931
      3601.73      493.270
      3614.09      488.170
      3626.44      495.873
      3638.80      503.918
      3651.15      532.038
      3663.51      539.326
      3675.86      537.916
      3688.22      541.091
      3700.57      537.874
      3712.93      535.457
      3725.28      525.042
      3737.64      527.118
      3749.99      571.981
      3762.35      611.500
      3774.70      640.016
      3787.06      633.251
      3799.41      660.569
      3811.77      657.811
      3824.12      564.932
      3836.48      598.004
      3848.83      715.984
      3861.19      744.216
      3873.55      681.292
      3885.90      661.031
      3898.26      726.620
      3910.61      704.185
      3922.97      581.518
      3935.32      624.650
      3947.68      679.225
      3960.03      592.369
      3972.39      706.087
      3984.74      895.392
      3997.10      959.278
      4009.45      984.988
      4021.81      984.012
      4034.16      978.131
      4046.52      976.099
      4058.87      983.489
      4071.23      992.718
      4083.58      916.135
      4095.94      857.214
      4108.29      913.576
      4120.65      963.278
      4133.01      1003.20
      4145.36      1015.25
      4157.72      1003.79
      4170.07      992.304
      4182.43      1000.40
      4194.78      1020.81
      4207.14      1020.59
      4219.49      1003.31
      4231.85      1013.51
      4244.20      1037.65
      4256.56      1047.09
      4268.91      1032.92
      4281.27      987.905
      4293.62      951.086
      4305.98      987.798
      4318.33      961.580
      4330.69      881.361
      4343.04      914.118
      4355.40      1002.63
      4367.75      1014.33
      4380.11      997.057
      4392.47      1015.33
      4404.82      1035.26
      4417.18      1048.00
      4429.53      1046.72
      4441.89      1035.21
      4454.24      1026.33
      4466.60      1044.03
      4478.95      1059.87
      4491.31      1080.24
      4503.66      1096.45
      4516.02      1069.80
      4528.37      1051.66
      4540.73      1067.58
      4553.08      1090.73
      4565.44      1085.10
      4577.79      1073.91
      4590.15      1078.32
      4602.51      1094.92
      4614.86      1107.36
      4627.21      1103.83
      4639.57      1086.30
      4651.93      1074.22
      4664.28      1063.54
      4676.64      1072.19
      4688.99      1075.57
      4701.35      1081.79
      4713.70      1108.50
      4726.06      1111.99
      4738.41      1108.77
      4750.77      1097.25
      4763.12      1102.31
      4775.48      1123.25
