# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ----------------------------------------------------------
#  bpgs_11  B6V     -0.46  -0.12  -0.02  -0.06  -0.27  -0.28
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023  7.46683e-06
      524.570  1.43834e-05
      537.117  2.29372e-05
      549.664  3.95798e-05
      562.212  6.05067e-05
      574.759  9.50748e-05
      587.306  0.000140537
      599.853  0.000224389
      612.401  0.000326465
      624.948  0.000494503
      637.495  0.000681003
      650.042   0.00100654
      662.590   0.00137996
      675.137   0.00189805
      687.684   0.00268564
      700.231   0.00348447
      712.779   0.00472713
      725.326   0.00625336
      737.873   0.00805654
      750.420    0.0108157
      762.968    0.0136555
      775.515    0.0175533
      788.062    0.0227858
      800.609    0.0280228
      813.157    0.0344657
      825.704    0.0438400
      838.251    0.0533466
      850.798    0.0639881
      863.346    0.0799566
      875.893    0.0966050
      888.440     0.166896
      900.987     0.795515
      913.535      1.57227
      926.082      8.94905
      938.629      30.2032
      951.177      117.778
      963.724      255.569
      976.271      513.964
      988.818      728.903
      1001.37      753.492
      1013.91      769.817
      1026.46      814.181
      1039.01      919.457
      1051.55      1219.39
      1064.10      1451.50
      1076.65      1413.60
      1089.20      1427.82
      1101.74      1672.10
      1114.29      1900.86
      1126.84      2026.19
      1139.39      2136.62
      1151.93      2212.42
      1164.48      2181.70
      1177.03      1970.04
      1189.57      1509.57
      1202.12      1028.06
      1214.67      791.663
      1227.22      1077.64
      1239.76      1712.54
      1252.31      2156.42
      1264.86      2423.89
      1277.41      2469.97
      1289.95      2429.86
      1302.50      2410.58
      1315.05      2537.26
      1327.59      2627.28
      1340.14      2679.34
      1352.69      2691.86
      1365.24      2727.67
      1377.78      2797.36
      1390.33      2779.58
      1402.88      2751.04
      1415.42      2768.79
      1427.97      2860.11
      1440.52      2981.26
      1453.07      3034.17
      1465.61      3020.44
      1478.16      2941.70
      1490.71      2918.08
      1503.26      2911.90
      1515.80      2909.76
      1528.35      2916.82
      1540.90      2924.71
      1553.44      2913.97
      1565.99      2874.02
      1578.54      2802.58
      1591.09      2708.79
      1603.63      2610.11
      1616.18      2514.24
      1628.73      2452.54
      1641.28      2416.80
      1653.82      2418.59
      1666.37      2447.23
      1678.92      2490.42
      1691.46      2467.89
      1704.01      2411.63
      1716.56      2321.40
      1729.11      2269.62
      1741.65      2244.71
      1754.20      2254.21
      1766.75      2265.01
      1779.30      2245.64
      1791.84      2010.76
      1804.39      1840.58
      1816.94      1857.51
      1829.48      1824.06
