# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_65  K7V      2.56   1.28   0.91   1.69   2.61   3.49
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      1985.67    0.0622153
      1997.48     0.187099
      2009.29     0.338646
      2021.10     0.273869
      2032.91     0.271881
      2044.72     0.352786
      2056.53     0.446298
      2068.34     0.620784
      2080.15     0.752871
      2091.96     0.814967
      2103.77     0.530199
      2115.58     0.264941
      2127.39     0.699212
      2139.20     0.894529
      2151.01     0.274908
      2162.82     0.210532
      2174.63     0.285318
      2186.44     0.138171
      2198.25     0.245590
      2210.06     0.363140
      2221.87     0.122198
      2233.68    0.0295622
      2245.49     0.323783
      2257.30     0.790014
      2269.11     0.787794
      2280.92     0.800087
      2292.73     0.329344
      2304.55     0.199286
      2316.36     0.362509
      2328.17      1.10794
      2339.98      1.21351
      2351.79     0.534708
      2363.60     0.881883
      2375.41      1.30433
      2387.22      1.20720
      2399.03     0.883736
      2410.84     0.307308
      2422.65     0.915232
      2434.46     0.955469
      2446.27     0.854656
      2458.08      1.34041
      2469.89      1.47425
      2481.70      1.47471
      2493.51      1.14470
      2505.32      1.25772
      2517.13      1.25975
      2528.94      1.29209
      2540.75      1.97711
      2552.56      2.01347
      2564.37      2.12827
      2576.18      1.74559
      2587.99      1.33067
      2599.80      1.60514
      2611.61      1.70999
      2623.42      2.77045
      2635.23      3.55693
      2647.04      4.89503
      2658.85      4.70148
      2670.66      5.03054
      2682.47      4.91139
      2694.28      5.35716
      2706.09      4.59160
      2717.90      4.60996
      2729.71      4.14503
      2741.52      4.90354
      2753.33      5.70484
      2765.14      6.97656
      2776.95      7.67672
      2788.76      11.3738
      2800.58      29.6840
      2812.39      13.0858
      2824.20      7.02575
      2836.01      7.69675
      2847.82      9.52207
      2859.63      9.84212
      2871.44      10.5688
      2883.25      10.3660
      2895.06      10.3665
      2906.87      11.2275
      2918.68      14.4392
      2930.49      15.4358
      2942.30      14.2032
      2954.11      11.6517
      2965.92      11.3693
      2977.73      11.1059
      2989.54      14.9852
      3001.35      14.9369
      3013.16      14.2501
      3024.97      13.6065
      3036.78      19.8004
      3048.59      17.8495
      3060.40      14.0188
      3072.21      15.3730
      3084.02      19.6458
      3095.83      20.5473
      3107.64      27.5314
      3119.45      27.1744
      3131.26      20.9551
      3143.07      17.5110
      3154.88      28.1201
      3166.69      19.8863
      3178.50      23.3044
      3190.31      29.7088
      3202.12      34.7757
      3213.93      33.3955
      3225.74      35.1887
      3237.55      40.5423
      3249.36      41.0438
      3261.17      39.7666
      3272.99      40.6568
      3284.80      46.5348
      3296.61      46.2785
      3308.42      41.7170
      3320.23      51.1830
      3332.04      52.4684
      3343.85      57.0621
      3355.66      50.1560
      3367.47      49.5473
      3379.28      53.9982
      3391.09      63.7048
      3402.90      64.9509
      3414.71      63.5684
      3426.52      62.2127
      3438.33      58.2480
      3450.14      53.5530
      3461.95      59.6847
      3473.76      61.2472
      3485.57      61.4086
      3497.38      67.9741
      3509.19      71.6977
      3521.00      69.6154
      3532.81      82.6016
      3544.62      86.8869
      3556.43      72.2102
      3568.24      58.0415
      3580.05      53.9866
      3591.86      57.7369
      3603.67      58.5878
      3615.48      65.2349
      3627.29      70.0016
      3639.10      72.1747
      3650.91      85.7716
      3662.72      96.0263
      3674.53      82.2744
      3686.34      82.0139
      3698.15      82.6141
      3709.96      75.6715
      3721.77      68.1975
      3733.58      60.1268
      3745.39      61.4297
      3757.20      68.1706
      3769.01      87.9381
      3780.82      97.1132
      3792.64      91.5404
      3804.45      89.8111
      3816.26      77.3224
      3828.07      69.4737
      3839.88      82.6863
      3851.69      86.7629
      3863.50      84.1452
      3875.31      76.7730
      3887.12      81.3878
      3898.93      96.5933
      3910.74      98.6108
      3922.55      90.2443
      3934.36      92.5459
      3946.17      96.2347
      3957.98      101.944
      3969.79      125.057
      3981.60      151.657
      3993.41      174.805
      4005.22      188.498
      4017.03      200.888
      4028.84      197.522
      4040.65      193.933
      4052.46      215.239
      4064.27      217.059
      4076.08      230.704
      4087.89      251.779
      4099.70      239.013
      4111.51      242.121
      4123.32      254.575
      4135.13      252.563
      4146.94      254.493
      4158.75      261.397
      4170.56      257.104
      4182.37      255.709
      4194.18      256.030
      4205.99      250.583
      4217.80      193.362
      4229.61      166.756
      4241.42      215.831
      4253.23      231.852
      4265.04      248.158
      4276.85      239.350
      4288.66      244.053
      4300.48      254.136
      4312.29      303.177
      4324.10      336.394
      4335.91      356.600
      4347.72      364.738
      4359.53      374.015
      4371.34      362.222
      4383.15      351.052
      4394.96      373.147
      4406.77      384.227
      4418.58      400.110
      4430.39      406.523
      4442.20      432.581
      4454.01      428.084
      4465.82      494.959
      4477.63      543.238
      4489.44      560.613
      4501.25      577.954
      4513.06      585.239
      4524.87      530.001
      4536.68      529.310
      4548.49      607.139
      4560.30      661.831
      4572.11      668.949
      4583.92      670.429
      4595.73      681.476
      4607.54      713.727
      4619.35      718.319
      4631.16      717.127
      4642.97      692.214
      4654.78      690.648
      4666.59      691.092
      4678.40      695.962
      4690.21      705.240
      4702.02      690.276
      4713.83      702.387
      4725.64      699.145
      4737.45      684.194
      4749.26      664.443
      4761.07      598.609
      4772.89      559.308
      4784.70      578.248
      4796.51      633.540
      4808.32      676.841
      4820.13      665.461
      4831.94      650.287
      4843.75      676.515
      4855.56      690.577
      4867.37      672.193
      4879.18      656.426
      4890.99      676.019
      4902.80      705.382
      4914.61      707.479
      4926.42      731.771
      4938.23      744.693
      4950.04      722.948
      4961.85      687.538
      4973.66      685.204
      4985.47      653.785
      4997.28      638.509
      5009.09      616.572
      5020.90      630.704
      5032.71      632.808
      5044.52      627.962
      5056.33      620.630
      5068.14      596.995
      5079.95      583.183
      5091.76      582.524
      5103.57      570.567
      5115.38      561.320
      5127.19      561.602
      5139.00      591.106
      5150.81      581.925
      5162.62      552.736
      5174.43      499.804
      5186.24      543.428
      5198.05      576.231
      5209.86      620.085
      5221.67      740.851
      5233.48      794.283
      5245.29      823.753
      5257.11      759.319
      5268.92      725.621
      5280.73      820.720
      5292.54      858.646
      5304.35      892.106
      5316.16      891.764
      5327.97      843.569
      5339.78      854.145
      5351.59      912.092
      5363.40      955.190
      5375.21      965.282
      5387.02      971.134
      5398.83      926.662
      5410.64      950.711
      5422.45      1018.85
      5434.26      995.828
      5446.07      994.967
      5457.88      1010.55
      5469.69      1022.41
      5481.50      1039.97
      5493.31      1069.49
      5505.12      1039.55
      5516.93      1040.71
      5528.74      1100.38
      5540.55      1126.58
      5552.36      1152.63
      5564.17      1128.87
      5575.98      1101.86
      5587.79      1066.08
      5599.60      1033.74
      5611.41      1101.20
      5623.22      1122.58
      5635.03      1152.55
      5646.84      1195.43
      5658.65      1199.28
      5670.46      1194.56
      5682.27      1232.37
      5694.08      1229.48
      5705.89      1208.65
      5717.70      1239.81
      5729.51      1287.35
      5741.32      1340.52
      5753.13      1358.22
      5764.94      1368.91
      5776.75      1375.96
      5788.57      1381.78
      5800.38      1391.68
      5812.19      1425.38
      5824.00      1440.98
      5835.81      1417.67
      5847.62      1388.70
      5859.43      1342.71
      5871.24      1196.74
      5883.05      1065.40
      5894.86      1017.81
