# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_57  K4V      1.84   0.92   0.64   1.13   1.75   2.40
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      1985.67    0.0502397
      1997.48     0.156558
      2009.29     0.299589
      2021.10     0.181736
      2032.91     0.252260
      2044.72     0.301720
      2056.53     0.355226
      2068.34     0.524890
      2080.15     0.665901
      2091.96     0.616131
      2103.77     0.347153
      2115.58     0.257495
      2127.39     0.643051
      2139.20     0.636900
      2151.01     0.183403
      2162.82     0.192036
      2174.63     0.204658
      2186.44    0.0912522
      2198.25     0.253436
      2210.06     0.262425
      2221.87    0.0631772
      2233.68    0.0330693
      2245.49     0.352717
      2257.30     0.669130
      2269.11     0.652792
      2280.92     0.574902
      2292.73     0.211457
      2304.55     0.174223
      2316.36     0.384066
      2328.17     0.997736
      2339.98     0.865871
      2351.79     0.420158
      2363.60     0.803792
      2375.41      1.06824
      2387.22     0.951688
      2399.03     0.606112
      2410.84     0.243812
      2422.65     0.850715
      2434.46     0.677778
      2446.27     0.776523
      2458.08      1.16148
      2469.89      1.15276
      2481.70      1.15039
      2493.51     0.918124
      2505.32      1.06287
      2517.13     0.933363
      2528.94      1.20433
      2540.75      1.63022
      2552.56      1.59740
      2564.37      1.77452
      2576.18      1.19942
      2587.99      1.25491
      2599.80      1.97310
      2611.61      2.70640
      2623.42      2.80472
      2635.23      3.66343
      2647.04      3.72357
      2658.85      4.03497
      2670.66      4.14733
      2682.47      4.65592
      2694.28      3.91179
      2706.09      3.72189
      2717.90      4.00713
      2729.71      4.67064
      2741.52      5.21689
      2753.33      5.60814
      2765.14      7.01478
      2776.95      8.50619
      2788.76      9.52570
      2800.58      11.9539
      2812.39      8.84099
      2824.20      9.21005
      2836.01      8.78893
      2847.82      6.76039
      2859.63      6.24799
      2871.44      9.59514
      2883.25      12.0220
      2895.06      17.0885
      2906.87      21.9694
      2918.68      22.7351
      2930.49      21.2335
      2942.30      20.2563
      2954.11      20.7993
      2965.92      18.6598
      2977.73      20.2273
      2989.54      20.7902
      3001.35      18.1320
      3013.16      20.3510
      3024.97      22.2572
      3036.78      28.4439
      3048.59      29.7979
      3060.40      30.8991
      3072.21      39.9565
      3084.02      41.6021
      3095.83      41.3578
      3107.64      54.6097
      3119.45      54.3443
      3131.26      56.4035
      3143.07      63.9162
      3154.88      61.5717
      3166.69      61.1358
      3178.50      77.1479
      3190.31      74.7752
      3202.12      77.2406
      3213.93      73.5918
      3225.74      77.5420
      3237.55      89.7570
      3249.36      98.0707
      3261.17      104.335
      3272.99      108.497
      3284.80      117.775
      3296.61      129.599
      3308.42      123.976
      3320.23      120.836
      3332.04      117.772
      3343.85      123.901
      3355.66      121.020
      3367.47      110.037
      3379.28      116.629
      3391.09      129.995
      3402.90      131.056
      3414.71      125.709
      3426.52      126.742
      3438.33      112.938
      3450.14      115.422
      3461.95      125.201
      3473.76      123.399
      3485.57      128.890
      3497.38      134.333
      3509.19      147.064
      3521.00      136.773
      3532.81      150.393
      3544.62      161.729
      3556.43      138.803
      3568.24      115.180
      3580.05      110.958
      3591.86      121.367
      3603.67      129.004
      3615.48      135.766
      3627.29      149.546
      3639.10      150.075
      3650.91      174.148
      3662.72      195.811
      3674.53      193.717
      3686.34      189.403
      3698.15      175.923
      3709.96      146.540
      3721.77      128.372
      3733.58      110.108
      3745.39      114.071
      3757.20      133.707
      3769.01      170.696
      3780.82      188.557
      3792.64      162.741
      3804.45      153.135
      3816.26      126.376
      3828.07      111.896
      3839.88      121.014
      3851.69      132.321
      3863.50      129.734
      3875.31      135.131
      3887.12      157.281
      3898.93      174.235
      3910.74      190.994
      3922.55      163.331
      3934.36      158.128
      3946.17      188.884
      3957.98      189.718
      3969.79      208.800
      3981.60      288.552
      3993.41      360.202
      4005.22      389.797
      4017.03      397.682
      4028.84      369.922
      4040.65      362.303
      4052.46      363.777
      4064.27      369.026
      4076.08      401.763
      4087.89      437.108
      4099.70      432.600
      4111.51      438.929
      4123.32      433.345
      4135.13      405.915
      4146.94      404.172
      4158.75      423.715
      4170.56      428.457
      4182.37      416.621
      4194.18      415.634
      4205.99      437.454
      4217.80      398.603
      4229.61      381.549
      4241.42      411.713
      4253.23      424.182
      4265.04      427.257
      4276.85      425.877
      4288.66      412.381
      4300.48      399.029
      4312.29      478.904
      4324.10      543.301
      4335.91      570.764
      4347.72      604.708
      4359.53      628.741
      4371.34      590.006
      4383.15      551.543
      4394.96      571.286
      4406.77      588.397
      4418.58      631.160
      4430.39      648.057
      4442.20      663.825
      4454.01      638.809
      4465.82      692.418
      4477.63      746.462
      4489.44      762.126
      4501.25      793.602
      4513.06      781.067
      4524.87      730.167
      4536.68      756.552
      4548.49      808.938
      4560.30      817.789
      4572.11      822.420
      4583.92      820.238
      4595.73      821.937
      4607.54      842.836
      4619.35      834.157
      4631.16      841.130
      4642.97      836.866
      4654.78      837.404
      4666.59      826.171
      4678.40      835.595
      4690.21      822.371
      4702.02      831.030
      4713.83      850.467
      4725.64      854.536
      4737.45      872.450
      4749.26      863.706
      4761.07      847.088
      4772.89      843.102
      4784.70      866.806
      4796.51      913.555
      4808.32      918.049
      4820.13      896.442
      4831.94      878.518
      4843.75      876.542
      4855.56      848.472
      4867.37      847.055
      4879.18      830.497
      4890.99      861.513
      4902.80      878.259
      4914.61      843.233
      4926.42      860.725
      4938.23      856.665
      4950.04      864.184
      4961.85      866.133
      4973.66      849.035
      4985.47      820.719
      4997.28      807.357
      5009.09      793.528
      5020.90      815.914
      5032.71      808.037
      5044.52      792.650
      5056.33      801.423
      5068.14      766.438
      5079.95      763.840
      5091.76      761.327
      5103.57      737.032
      5115.38      757.600
      5127.19      748.765
      5139.00      731.094
      5150.81      711.682
      5162.62      641.241
      5174.43      614.467
      5186.24      702.989
      5198.05      730.742
      5209.86      781.259
      5221.67      845.522
      5233.48      877.619
      5245.29      895.758
      5257.11      826.703
      5268.92      826.446
      5280.73      938.080
      5292.54      944.873
      5304.35      956.630
      5316.16      929.202
      5327.97      894.556
      5339.78      940.903
      5351.59      975.905
      5363.40      953.287
      5375.21      981.697
      5387.02      970.860
      5398.83      920.081
      5410.64      954.893
      5422.45      999.613
      5434.26      1024.46
      5446.07      1037.21
      5457.88      1034.56
      5469.69      1030.06
      5481.50      1053.10
      5493.31      1076.48
      5505.12      1070.78
      5516.93      1053.95
      5528.74      1065.35
      5540.55      1098.53
      5552.36      1098.96
      5564.17      1065.58
      5575.98      1038.45
      5587.79      1033.09
      5599.60      1083.33
      5611.41      1100.08
      5623.22      1095.91
      5635.03      1117.31
      5646.84      1118.60
      5658.65      1124.71
      5670.46      1132.17
      5682.27      1122.87
      5694.08      1134.95
      5705.89      1108.56
      5717.70      1131.44
      5729.51      1176.83
      5741.32      1207.55
      5753.13      1221.67
      5764.94      1228.74
      5776.75      1228.58
      5788.57      1227.96
      5800.38      1226.46
      5812.19      1221.10
      5824.00      1221.62
      5835.81      1233.19
      5847.62      1222.21
      5859.43      1195.17
      5871.24      1151.29
      5883.05      1120.81
      5894.86      1130.39
      5906.67      1155.97
      5918.48      1192.23
      5930.29      1223.12
      5942.10      1246.59
      5953.91      1251.60
      5965.72      1253.64
      5977.53      1254.00
      5989.34      1255.13
      6001.15      1257.18
      6012.96      1262.72
      6024.77      1268.27
      6036.58      1273.41
      6048.39      1279.00
      6060.20      1281.74
      6072.01      1267.68
      6083.82      1259.03
      6095.63      1265.37
      6107.44      1272.84
      6119.25      1277.62
      6131.06      1259.19
      6142.87      1242.95
      6154.68      1244.51
      6166.49      1248.10
      6178.30      1254.05
      6190.11      1275.53
      6201.92      1289.09
      6213.73      1262.83
      6225.54      1249.55
      6237.35      1254.02
      6249.16      1250.16
      6260.97      1243.24
      6272.79      1237.61
      6284.60      1244.23
      6296.41      1268.39
      6308.22      1274.93
      6320.03      1271.39
      6331.84      1260.76
      6343.65      1262.30
      6355.46      1290.11
      6367.27      1301.02
      6379.08      1297.89
      6390.89      1276.44
      6402.70      1260.34
      6414.51      1268.93
      6426.32      1267.46
      6438.13      1257.83
      6449.94      1271.06
      6461.75      1289.13
      6473.56      1299.66
      6485.37      1306.50
      6497.18      1309.89
      6508.99      1313.87
      6520.80      1315.86
      6532.61      1307.64
      6544.42      1298.19
      6556.23      1288.97
      6568.04      1286.27
      6579.85      1289.53
      6591.66      1308.50
      6603.47      1323.56
      6615.28      1324.53
      6627.09      1311.89
      6638.90      1293.50
      6650.71      1304.43
      6662.52      1317.52
      6674.33      1317.03
      6686.14      1315.46
      6697.95      1314.57
      6709.76      1325.21
      6721.57      1338.29
      6733.38      1346.72
      6745.19      1350.34
      6757.00      1348.87
      6768.82      1355.37
      6780.63      1360.46
      6792.44      1342.77
      6804.25      1334.08
      6816.06      1345.45
      6827.87      1357.22
      6839.68      1364.93
      6851.49      1346.72
      6863.30      1326.69
      6875.11      1313.80
      6886.92      1317.40
      6898.73      1332.20
      6910.54      1340.61
      6922.35      1346.89
      6934.16      1351.91
      6945.97      1355.31
      6957.78      1356.79
      6969.59      1351.53
      6981.40      1338.90
      6993.21      1306.92
      7005.02      1303.73
      7016.83      1339.88
      7028.64      1355.65
      7040.45      1359.43
      7052.26      1348.60
      7064.07      1344.32
      7075.88      1355.00
      7087.69      1354.73
      7099.50      1346.33
      7111.31      1327.99
      7123.12      1313.77
      7134.93      1313.78
      7146.74      1316.98
      7158.55      1324.41
      7170.36      1353.31
      7182.17      1380.73
      7193.98      1386.54
      7205.79      1385.03
      7217.60      1377.46
      7229.41      1365.69
      7241.22      1353.81
      7253.03      1347.45
      7264.84      1345.97
      7276.65      1350.46
      7288.46      1355.46
      7300.28      1358.58
      7312.09      1351.29
      7323.90      1337.78
      7335.71      1316.11
      7347.52      1302.58
      7359.33      1296.78
      7371.14      1309.13
      7382.95      1318.96
      7394.76      1313.17
      7406.57      1310.82
      7418.38      1313.00
      7430.19      1326.70
      7442.00      1341.83
      7453.81      1350.79
      7465.62      1347.48
      7477.43      1332.42
      7489.24      1335.38
      7501.05      1339.74
      7512.86      1321.40
      7524.67      1314.06
      7536.48      1326.53
      7548.29      1335.74
      7560.10      1331.86
      7571.91      1263.26
      7583.72      1210.77
      7595.53      1211.91
      7607.34      1331.28
      7619.15      1501.63
      7630.96      1481.21
      7642.77      1424.60
      7654.58      1385.03
      7666.39      1331.54
      7678.20      1270.75
      7690.01      1272.12
      7701.82      1289.54
      7713.63      1298.16
      7725.44      1314.73
      7737.25      1340.03
      7749.06      1342.38
      7760.88      1335.29
      7772.69      1327.09
      7784.49      1333.76
      7796.31      1362.98
      7808.12      1372.53
      7819.93      1371.46
      7831.74      1368.38
      7843.55      1369.73
      7855.36      1380.02
      7867.17      1367.90
      7878.98      1343.50
      7890.79      1345.95
      7902.60      1357.32
      7914.41      1375.26
      7926.22      1375.34
      7938.03      1360.23
      7949.84      1363.23
      7961.65      1369.26
      7973.46      1365.21
      7985.27      1364.24
      7997.08      1367.79
      8008.89      1368.65
      8020.70      1368.10
      8032.51      1367.00
      8044.32      1368.65
      8056.13      1373.91
      8067.94      1349.58
      8079.75      1316.49
      8091.56      1330.72
      8103.37      1351.91
      8115.18      1369.10
      8126.99      1375.06
      8138.80      1372.68
      8150.61      1367.46
      8162.42      1360.31
      8174.23      1350.09
      8186.04      1348.08
      8197.85      1353.26
      8209.66      1345.44
      8221.47      1335.53
      8233.28      1332.77
      8245.10      1345.94
      8256.90      1376.35
      8268.71      1366.00
      8280.52      1342.82
      8292.34      1345.15
      8304.15      1334.83
      8315.96      1296.84
      8327.76      1270.84
      8339.58      1259.57
      8351.39      1299.17
      8363.20      1331.48
      8375.01      1325.05
      8386.82      1324.13
      8398.63      1328.92
      8410.44      1337.12
      8422.25      1334.71
      8434.06      1298.54
      8445.87      1296.11
      8457.68      1327.02
      8469.49      1314.34
      8481.30      1291.73
      8493.11      1289.99
      8504.92      1283.41
      8516.73      1267.16
      8528.54      1258.57
      8540.35      1256.75
      8552.16      1272.81
      8563.97      1295.71
      8575.78      1325.33
      8587.59      1320.36
      8599.40      1299.50
      8611.21      1314.87
      8623.02      1325.04
      8634.83      1304.55
      8646.64      1292.24
      8658.45      1289.40
      8670.26      1301.96
      8682.07      1312.50
      8693.88      1303.57
      8705.69      1298.10
      8717.50      1297.93
      8729.31      1293.68
      8741.12      1291.47
      8752.93      1304.57
      8764.74      1307.99
      8776.55      1294.18
      8788.37      1256.06
      8800.18      1219.01
      8811.99      1252.13
      8823.80      1277.76
      8835.61      1268.48
      8847.42      1277.47
      8859.23      1298.06
      8871.04      1315.78
      8882.85      1321.81
      8894.66      1301.41
      8906.47      1284.71
      8918.28      1274.87
      8930.09      1293.40
      8941.90      1311.44
      8953.71      1302.00
      8965.52      1313.03
      8977.33      1348.52
      8989.14      1355.54
      9000.95      1356.19
      9012.76      1376.21
      9024.57      1393.85
      9036.38      1403.88
      9048.19      1390.76
      9060.00      1365.13
      9071.81      1335.68
      9083.62      1330.44
      9095.43      1373.40
      9107.24      1376.06
      9119.05      1351.88
      9130.86      1339.61
      9142.67      1323.15
      9154.48      1288.06
      9166.29      1289.21
      9178.10      1321.20
      9189.91      1325.21
      9201.72      1317.65
      9213.53      1299.58
      9225.34      1289.26
      9237.15      1288.51
      9248.96      1278.17
      9260.78      1265.05
      9272.58      1256.34
      9284.40      1258.26
      9296.21      1275.54
      9308.02      1291.65
      9319.83      1322.55
      9331.64      1446.74
      9343.45      1516.90
      9355.26      1441.45
      9367.07      1403.12
      9378.88      1395.34
      9390.69      1388.86
      9402.50      1367.27
      9414.31      1305.10
      9426.12      1303.23
      9437.93      1358.44
      9449.74      1392.45
      9461.55      1409.16
      9473.36      1389.47
      9485.17      1366.13
      9496.98      1342.40
      9508.79      1311.50
      9520.60      1285.60
      9532.41      1298.03
      9544.22      1310.53
      9556.03      1314.17
      9567.84      1311.46
      9579.65      1309.38
      9591.46      1333.46
      9603.27      1349.54
      9615.08      1337.69
      9626.89      1315.94
      9638.70      1291.03
      9650.51      1294.10
      9662.32      1296.57
      9674.13      1276.48
      9685.94      1265.42
      9697.75      1264.47
      9709.56      1258.01
      9721.37      1253.30
      9733.18      1261.78
      9744.99      1268.72
      9756.80      1271.36
      9768.62      1264.70
      9780.43      1254.74
      9792.24      1249.08
      9804.04      1247.00
      9815.86      1250.64
      9827.67      1247.94
      9839.48      1240.18
      9851.29      1224.61
      9863.10      1207.31
      9874.91      1190.40
      9886.72      1188.60
      9898.53      1198.06
      9910.34      1199.48
      9922.15      1194.95
      9933.96      1179.51
      9945.77      1175.44
      9957.58      1183.90
      9969.39      1193.98
      9981.20      1200.29
      9993.01      1190.27
      10004.8      1184.73
      10016.6      1188.38
      10028.4      1198.31
      10040.3      1208.03
      10052.1      1202.33
      10063.9      1199.97
      10075.7      1208.57
      10087.5      1211.80
      10099.3      1209.05
      10111.1      1189.40
      10122.9      1172.69
      10134.7      1171.34
      10146.5      1165.73
      10158.4      1157.50
      10170.2      1166.00
      10182.0      1172.43
      10193.8      1157.63
      10205.6      1148.40
      10217.4      1146.08
      10229.2      1130.28
      10241.0      1118.95
      10252.8      1147.44
      10264.6      1159.19
      10276.5      1140.25
      10288.3      1137.49
      10300.1      1141.36
      10311.9      1135.10
      10323.7      1129.98
      10335.5      1130.53
      10347.3      1137.59
      10359.1      1148.40
      10370.9      1156.31
      10382.7      1152.38
      10394.6      1121.03
      10406.4      1118.56
      10418.2      1140.29
      10430.0      1133.58
      10441.8      1126.11
      10453.6      1145.15
      10465.4      1157.64
      10477.2      1159.93
      10489.0      1161.57
      10500.8      1166.02
      10512.7      1182.60
      10524.5      1183.90
      10536.3      1159.68
      10548.1      1139.67
      10559.9      1124.85
      10571.7      1125.66
      10583.5      1128.79
      10595.3      1130.52
      10607.1      1130.62
      10619.0      1129.48
      10630.8      1128.28
      10642.6      1127.18
      10654.4      1126.06
      10666.2      1124.91
      10678.0      1123.78
      10689.8      1122.63
      10701.6      1121.47
      10713.4      1120.37
      10725.2      1119.20
      10737.1      1118.13
      10748.9      1116.96
      10760.7      1115.82
      10772.5      1114.64
      10784.3      1113.56
      10796.1      1112.39
      10807.9      1111.20
      10819.7      1110.07
      10831.5      1108.89
      10843.3      1107.68
      10855.2      1106.53
      10867.0      1105.27
      10878.8      1104.19
      10890.6      1102.96
      10902.4      1101.75
      10914.2      1100.61
      10926.0      1099.38
      10937.8      1098.23
      10949.6      1097.04
      10961.4      1095.84
      10973.3      1094.72
      10985.1      1093.46
      10996.9      1092.37
      11008.7      1091.08
      11020.5      1089.90
      11032.3      1088.75
      11044.1      1087.51
      11055.9      1086.33
      11067.7      1085.11
      11079.6      1083.88
      11091.4      1082.73
      11103.2      1081.47
      11115.0      1080.29
      11126.8      1079.15
      11138.6      1077.90
      11150.4      1076.65
      11162.2      1075.52
      11174.0      1074.33
      11185.8      1073.07
      11197.7      1071.90
      11209.5      1070.73
      11221.3      1069.47
      11233.1      1068.28
      11244.9      1067.20
      11256.7      1065.96
      11268.5      1064.72
      11280.3      1063.58
      11292.1      1062.31
      11303.9      1061.25
      11315.8      1059.97
      11327.6      1058.82
      11339.4      1057.60
      11351.2      1056.45
      11363.0      1055.23
      11374.8      1054.05
      11386.6      1052.81
      11398.4      1051.68
      11410.2      1050.54
      11422.0      1049.32
      11433.9      1048.20
      11445.7      1047.07
      11457.5      1045.85
      11469.3      1044.78
      11481.1      1043.59
      11492.9      1042.44
      11504.7      1041.26
      11516.5      1040.09
      11528.3      1038.97
      11540.2      1037.76
      11552.0      1036.68
      11563.8      1035.49
      11575.6      1034.38
      11587.4      1033.14
      11599.2      1032.07
      11611.0      1030.93
      11622.8      1029.84
      11634.6      1028.73
      11646.4      1027.60
      11658.3      1026.53
      11670.1      1025.47
      11681.9      1024.31
      11693.7      1023.25
      11705.5      1022.11
