# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_66  M1.5V    2.65   1.45   1.07   2.14   3.14   4.01
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      1985.67    0.0459158
      1997.48     0.138082
      2009.29     0.249930
      2021.10     0.202121
      2032.91     0.200657
      2044.72     0.260364
      2056.53     0.329377
      2068.34     0.458152
      2080.15     0.555644
      2091.96     0.601463
      2103.77     0.391307
      2115.58     0.195530
      2127.39     0.516038
      2139.20     0.660184
      2151.01     0.202888
      2162.82     0.155378
      2174.63     0.210572
      2186.44     0.101974
      2198.25     0.181247
      2210.06     0.268003
      2221.87    0.0901852
      2233.68    0.0218175
      2245.49     0.238957
      2257.30     0.583052
      2269.11     0.581404
      2280.92     0.590477
      2292.73     0.243063
      2304.55     0.147077
      2316.36     0.267537
      2328.17     0.817681
      2339.98     0.895606
      2351.79     0.394625
      2363.60     0.650850
      2375.41     0.962630
      2387.22     0.890940
      2399.03     0.652211
      2410.84     0.226799
      2422.65     0.675449
      2434.46     0.705166
      2446.27     0.630751
      2458.08     0.989256
      2469.89      1.08804
      2481.70      1.08838
      2493.51     0.844816
      2505.32     0.928219
      2517.13     0.929717
      2528.94     0.953590
      2540.75      1.45915
      2552.56      1.48600
      2564.37      1.57071
      2576.18      1.28830
      2587.99     0.982068
      2599.80      1.18463
      2611.61      1.26202
      2623.42      2.04467
      2635.23      2.62508
      2647.04      3.61265
      2658.85      3.46984
      2670.66      3.71266
      2682.47      3.62476
      2694.28      3.95377
      2706.09      3.38870
      2717.90      3.40229
      2729.71      3.05913
      2741.52      3.61893
      2753.33      4.21034
      2765.14      5.14890
      2776.95      5.66564
      2788.76      8.39417
      2800.58      21.9076
      2812.39      9.65776
      2824.20      5.18525
      2836.01      5.68026
      2847.82      7.02745
      2859.63      7.26367
      2871.44      7.80014
      2883.25      7.65021
      2895.06      7.65067
      2906.87      8.28614
      2918.68      10.6565
      2930.49      11.3921
      2942.30      10.4823
      2954.11      8.59924
      2965.92      8.39072
      2977.73      8.19622
      2989.54      11.0595
      3001.35      11.0238
      3013.16      10.5169
      3024.97      10.0419
      3036.78      14.6132
      3048.59      13.1734
      3060.40      10.3463
      3072.21      11.3455
      3084.02      14.4990
      3095.83      15.1643
      3107.64      20.3188
      3119.45      20.0553
      3131.26      15.4654
      3143.07      12.9235
      3154.88      20.7531
      3166.69      14.6765
      3178.50      17.1991
      3190.31      21.9258
      3202.12      25.6655
      3213.93      24.6466
      3225.74      25.9701
      3237.55      29.7490
      3249.36      27.1535
      3261.17      24.0261
      3272.99      27.2230
      3284.80      29.9116
      3296.61      31.3664
      3308.42      34.6459
      3320.23      37.9503
      3332.04      38.7050
      3343.85      40.0384
      3355.66      38.2716
      3367.47      38.1101
      3379.28      42.7948
      3391.09      47.4520
      3402.90      51.0150
      3414.71      48.9292
      3426.52      47.7984
      3438.33      43.3416
      3450.14      47.1335
      3461.95      50.5370
      3473.76      51.6641
