# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_24  A5V      0.24   0.12   0.09   0.19   0.32   0.40
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023  1.57418e-15
      524.570  5.07822e-15
      537.117  1.02968e-14
      549.664  2.72927e-14
      562.212  5.30054e-14
      574.759  1.26902e-13
      587.306  2.50082e-13
      599.853  5.67669e-13
      612.401  1.07216e-12
      624.948  2.41128e-12
      637.495  4.10503e-12
      650.042  9.46240e-12
      662.590  1.60820e-11
      675.137  3.11838e-11
      687.684  6.20878e-11
      700.231  9.40460e-11
      712.779  1.84853e-10
      725.326  3.13284e-10
      737.873  5.17370e-10
      750.420  9.82585e-10
      762.968  1.46987e-09
      775.515  2.61591e-09
      788.062  4.59314e-09
      800.609  6.57308e-09
      813.157  1.01589e-08
      825.704  1.76483e-08
      838.251  2.53134e-08
      850.798  3.59151e-08
      863.346  6.03001e-08
      875.893  8.64451e-08
      888.440  5.63252e-07
      900.987  5.73070e-06
      913.535  1.21427e-05
      926.082  3.00892e-05
      938.629  6.00389e-05
      951.177  8.76403e-05
      963.724  0.000118964
      976.271  0.000165813
      988.818  0.000216241
      1001.37  0.000274316
      1013.91  0.000336552
      1026.46  0.000410735
      1039.01  0.000500517
      1051.55  0.000638826
      1064.10  0.000788844
      1076.65  0.000964174
      1089.20   0.00246716
      1101.74   0.00815542
      1114.29    0.0133374
      1126.84    0.0159062
      1139.39    0.0184011
      1151.93    0.0223277
      1164.48    0.0263176
      1177.03    0.0298202
      1189.57    0.0312014
      1202.12    0.0332007
      1214.67    0.0402123
      1227.22     0.118554
      1239.76     0.323213
      1252.31     0.999851
      1264.86      2.26462
      1277.41      4.27800
      1289.95      6.00498
      1302.50      7.69350
      1315.05      9.57418
      1327.59      11.5992
      1340.14      13.4086
      1352.69      13.4715
      1365.24      13.7774
      1377.78      14.7917
      1390.33      15.7510
      1402.88      16.6596
      1415.42      17.4990
      1427.97      19.2394
      1440.52      21.8211
      1453.07      25.8900
      1465.61      28.1283
      1478.16      28.0491
      1490.71      30.0252
      1503.26      37.0867
      1515.80      54.6660
      1528.35      68.0437
      1540.90      75.4752
      1553.44      67.4137
      1565.99      70.5080
      1578.54      87.5917
      1591.09      101.873
      1603.63      113.905
      1616.18      122.579
      1628.73      127.302
      1641.28      130.333
      1653.82      134.200
      1666.37      137.001
      1678.92      139.767
      1691.46      151.933
      1704.01      171.246
      1716.56      199.598
      1729.11      214.232
