# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_14  A0V     -0.04  -0.04   0.02   0.04  -0.04  -0.06
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023  4.58895e-11
      524.570  1.28748e-10
      537.117  2.46997e-10
      549.664  5.85099e-10
      562.212  1.07341e-09
      574.759  2.31826e-09
      587.306  4.23323e-09
      599.853  8.63570e-09
      612.401  1.49831e-08
      624.948  2.96466e-08
      637.495  4.72588e-08
      650.042  9.21655e-08
      662.590  1.46475e-07
      675.137  2.45547e-07
      687.684  4.28008e-07
      700.231  6.14959e-07
      712.779  1.02271e-06
      725.326  1.57160e-06
      737.873  2.32106e-06
      750.420  3.76279e-06
      762.968  5.26303e-06
      775.515  7.97324e-06
      788.062  1.22101e-05
      800.609  1.64520e-05
      813.157  2.27428e-05
      825.704  3.40139e-05
      838.251  4.55093e-05
      850.798  5.96435e-05
      863.346  8.61627e-05
      875.893  0.000114263
      888.440  0.000355985
      900.987   0.00282114
      913.535   0.00587621
      926.082    0.0157738
      938.629    0.0333181
      951.177    0.0545492
      963.724    0.0986619
      976.271     0.221748
      988.818     0.326217
      1001.37     0.340514
      1013.91     0.352297
      1026.46     0.382141
      1039.01     0.511365
      1051.55     0.965837
      1064.10      1.37529
      1076.65      1.55469
      1089.20      15.6629
      1101.74      73.7995
      1114.29      123.741
      1126.84      132.566
      1139.39      133.968
      1151.93      135.980
      1164.48      126.145
      1177.03      95.8502
      1189.57      61.6886
      1202.12      31.2034
      1214.67      17.1855
      1227.22      38.2062
      1239.76      88.0133
      1252.31      159.803
      1264.86      234.996
      1277.41      306.696
      1289.95      334.735
      1302.50      346.343
      1315.05      355.175
      1327.59      377.122
      1340.14      404.952
      1352.69      415.084
      1365.24      417.614
      1377.78      416.936
      1390.33      462.178
      1402.88      514.250
      1415.42      545.566
      1427.97      559.498
      1440.52      568.689
      1453.07      604.101
      1465.61      607.359
      1478.16      574.718
      1490.71      634.267
      1503.26      685.636
      1515.80      655.845
      1528.35      661.289
      1540.90      682.087
      1553.44      676.386
      1565.99      683.475
      1578.54      704.337
      1591.09      687.411
      1603.63      661.599
      1616.18      637.706
      1628.73      615.168
      1641.28      598.049
      1653.82      600.507
      1666.37      610.242
      1678.92      624.226
      1691.46      631.540
      1704.01      629.898
      1716.56      615.008
      1729.11      625.375
      1741.65      642.009
      1754.20      639.895
      1766.75      645.476
      1779.30      657.403
      1791.84      655.605
      1804.39      645.236
      1816.94      625.537
      1829.48      618.634
      1842.03      619.419
      1854.58      628.313
      1867.13      631.821
      1879.67      630.389
      1892.22      627.081
      1904.77      625.720
      1917.32      627.811
      1929.86      627.699
      1942.41      625.409
      1954.96      619.013
      1967.50      608.137
      1980.05      594.213
      1992.60      579.508
      2005.15      567.490
      2017.69      559.849
      2030.24      559.094
      2042.79      557.328
      2055.33      546.911
      2067.88      549.229
      2080.43      557.308
      2092.98      551.839
      2105.52      547.024
      2118.07      544.088
      2130.62      523.207
      2143.17      507.259
      2155.71      516.461
      2168.26      516.290
      2180.81      511.685
      2193.35      514.387
      2205.90      512.037
      2218.45      503.121
      2231.00      496.661
      2243.54      492.152
      2256.09      490.634
      2268.64      495.884
      2281.19      502.989
      2293.73      503.523
      2306.28      496.995
      2318.83      484.203
      2331.37      472.939
      2343.92      462.975
      2356.47      454.902
      2369.02      447.229
      2381.56      440.571
      2394.11      437.197
      2406.66      443.054
      2419.20      456.712
      2431.75      468.801
      2444.30      480.377
      2456.85      490.931
      2469.39      486.815
      2481.94      481.535
      2494.49      492.905
      2507.04      489.608
      2519.58      473.402
      2532.13      457.062
      2544.68      458.344
      2557.22      487.424
      2569.77      503.801
      2582.32      508.480
      2594.87      492.589
      2607.41      484.197
      2619.96      485.619
      2632.51      507.371
      2645.06      523.363
      2657.60      525.978
      2670.15      528.448
      2682.70      529.405
      2695.24      526.146
      2707.79      526.255
      2720.34      526.366
      2732.89      513.990
      2745.43      506.159
      2757.98      506.035
      2770.53      498.227
      2783.07      488.470
      2795.62      480.268
      2808.17      492.918
      2820.72      516.180
      2833.26      532.090
      2845.81      534.890
      2858.36      524.083
      2870.91      519.217
      2883.45      519.580
      2896.00      528.181
      2908.55      538.889
      2921.09      547.004
      2933.64      539.842
      2946.19      538.230
      2958.74      543.919
      2971.28      546.893
      2983.83      550.138
      2996.38      555.396
      3008.93      564.015
      3021.47      572.326
      3034.02      573.381
      3046.57      570.158
      3059.11      564.979
      3071.66      570.047
      3084.21      575.649
      3096.76      577.969
      3109.30      578.194
      3121.85      578.604
      3134.40      582.578
      3146.95      587.456
      3159.49      592.110
      3172.04      592.377
      3184.59      592.442
      3197.13      593.711
      3209.68      596.577
      3222.23      597.858
      3234.78      592.584
      3247.32      609.229
      3259.87      636.809
      3272.42      632.271
      3284.97      633.140
      3297.51      649.426
      3310.06      630.368
      3322.61      604.633
      3335.15      604.026
      3347.70      598.155
      3360.25      605.343
      3372.80      583.912
      3385.34      601.170
      3397.89      614.204
      3410.44      604.299
      3422.98      615.233
      3435.53      590.935
      3448.08      584.720
      3460.63      583.258
      3473.17      566.616
      3485.72      566.141
      3498.27      562.519
      3510.82      565.416
      3523.36      575.815
      3535.91      580.085
      3548.46      572.815
      3561.00      576.796
      3573.55      566.272
      3586.10      571.117
      3598.65      568.481
      3611.19      565.090
      3623.74      559.412
      3636.29      558.741
      3648.84      563.141
      3661.38      561.299
      3673.93      553.293
      3686.48      557.197
      3699.02      565.383
      3711.57      616.507
      3724.12      674.872
      3736.67      723.236
      3749.21      811.543
      3761.76      879.283
      3774.31      1006.79
      3786.86      1114.81
      3799.40      1064.92
      3811.95      1358.05
      3824.50      1259.23
      3837.04      1053.31
      3849.59      1442.86
      3862.14      1668.48
      3874.69      1469.19
      3887.23      1079.55
      3899.78      1327.80
      3912.33      1699.65
      3924.87      1767.39
      3937.42      1738.39
      3949.97      1664.26
      3962.52      1238.13
      3975.06      1190.90
      3987.61      1656.52
      4000.16      1823.51
      4012.71      1837.74
      4025.25      1818.37
      4037.80      1825.55
      4050.35      1818.18
      4062.89      1797.06
      4075.44      1701.92
      4087.99      1379.15
      4100.54      1051.66
      4113.08      1307.26
      4125.63      1642.97
      4138.18      1735.70
      4150.73      1756.46
      4163.27      1739.10
      4175.82      1713.18
      4188.37      1734.34
      4200.91      1753.08
      4213.46      1749.65
      4226.01      1726.25
      4238.56      1720.81
      4251.10      1703.06
      4263.65      1705.53
      4276.20      1692.66
      4288.74      1667.68
      4301.29      1623.20
      4313.84      1526.68
      4326.39      1190.95
      4338.93      911.312
      4351.48      1176.62
      4364.03      1516.28
      4376.58      1588.29
      4389.12      1575.05
      4401.67      1583.30
      4414.22      1572.44
      4426.76      1577.86
      4439.31      1568.99
      4451.86      1543.87
      4464.41      1510.89
      4476.95      1454.58
      4489.50      1455.91
      4502.05      1467.88
      4514.60      1474.98
      4527.14      1474.67
      4539.69      1457.62
      4552.24      1436.73
      4564.78      1434.75
      4577.33      1435.43
      4589.88      1430.92
      4602.43      1430.37
      4614.97      1420.62
      4627.52      1406.69
      4640.07      1401.88
      4652.62      1390.12
      4665.16      1369.64
      4677.71      1392.67
      4690.26      1383.51
      4702.81      1380.73
      4715.35      1378.36
      4727.90      1363.09
      4740.45      1360.87
      4752.99      1361.00
      4765.54      1346.40
      4778.09      1342.34
      4790.64      1332.60
      4803.18      1314.50
      4815.73      1293.99
      4828.28      1255.16
      4840.82      1131.49
      4853.37      854.018
      4865.92      825.911
      4878.47      1074.12
      4891.01      1214.22
      4903.56      1257.66
      4916.11      1257.40
      4928.66      1253.03
      4941.20      1272.37
      4953.75      1261.69
      4966.30      1249.59
      4978.84      1227.35
      4991.39      1218.64
      5003.94      1209.48
      5016.49      1200.54
      5029.03      1196.66
      5041.58      1183.88
      5054.13      1177.15
      5066.67      1170.16
      5079.22      1158.40
      5091.77      1143.95
      5104.32      1140.34
      5116.86      1133.89
      5129.41      1120.84
      5141.96      1128.58
      5154.51      1129.58
      5167.05      1122.00
      5179.60      1109.28
      5192.15      1107.13
      5204.69      1107.56
      5217.24      1099.04
      5229.79      1084.92
      5242.34      1082.99
      5254.88      1083.01
      5267.43      1074.85
      5279.98      1069.61
      5292.53      1077.88
      5305.07      1066.10
      5317.62      1054.52
      5330.17      1051.84
      5342.71      1058.44
      5355.26      1055.78
      5367.81      1040.00
      5380.36      1039.44
      5392.90      1037.18
      5405.45      1028.92
      5418.00      1023.47
      5430.55      1020.75
      5443.09      1009.39
      5455.64      996.194
      5468.19      986.626
      5480.73      991.441
      5493.28      988.656
      5505.83      976.591
      5518.38      971.559
      5530.92      974.449
      5543.47      972.779
      5556.02      973.970
      5568.57      974.500
      5581.11      967.344
      5593.66      969.679
      5606.21      965.651
      5618.75      965.359
      5631.30      960.583
      5643.85      955.740
      5656.40      951.292
      5668.94      946.867
      5681.49      942.488
      5694.04      938.158
      5706.58      933.839
      5719.13      929.493
      5731.68      925.221
      5744.23      922.155
      5756.77      921.288
      5769.32      922.768
      5781.87      923.864
      5794.41      920.333
      5806.96      916.560
      5819.51      912.982
      5832.06      909.094
      5844.60      903.029
      5857.15      893.543
      5869.70      884.082
      5882.25      877.188
      5894.79      878.012
      5907.34      879.452
      5919.89      880.147
      5932.44      876.318
      5944.98      871.408
      5957.53      866.241
      5970.08      863.134
      5982.62      860.323
      5995.17      856.413
      6007.72      851.012
      6020.27      844.418
      6032.81      836.301
      6045.36      833.543
      6057.91      837.797
      6070.45      839.112
      6083.00      838.622
      6095.55      836.063
      6108.10      832.727
      6120.64      828.439
      6133.19      821.131
      6145.74      815.015
      6158.29      810.587
      6170.83      806.119
      6183.38      801.676
      6195.93      797.581
      6208.47      796.758
      6221.02      797.718
      6233.57      798.603
      6246.12      794.838
      6258.66      786.107
      6271.21      777.477
      6283.76      770.654
      6296.30      767.408
      6308.85      764.734
      6321.40      761.740
      6333.95      757.085
      6346.49      752.938
      6359.04      749.676
      6371.59      747.994
      6384.14      747.295
      6396.68      747.548
      6409.23      740.190
      6421.78      730.308
      6434.32      723.174
      6446.87      717.793
      6459.42      713.776
      6471.97      710.398
      6484.51      710.190
      6497.06      714.288
      6509.61      707.004
      6522.16      682.948
      6534.70      621.948
      6547.25      581.519
      6559.80      567.947
      6572.34      606.834
      6584.89      650.551
      6597.44      685.258
      6609.99      699.152
      6622.53      702.467
      6635.08      697.431
      6647.63      692.698
      6660.18      688.414
      6672.72      683.563
      6685.27      680.905
      6697.82      681.062
      6710.36      679.822
      6722.91      677.925
      6735.46      675.761
      6748.01      674.308
      6760.55      672.078
      6773.10      663.800
      6785.65      660.562
      6798.20      664.262
      6810.74      666.239
      6823.29      668.625
      6835.84      672.443
      6848.38      662.226
      6860.93      646.559
      6873.48      641.512
      6886.03      641.378
      6898.57      644.752
      6911.12      645.684
      6923.67      642.976
      6936.21      634.330
      6948.76      632.778
      6961.31      632.457
      6973.86      622.708
      6986.40      618.819
      6998.95      621.223
      7011.50      621.104
      7024.05      619.928
      7036.59      618.133
      7049.14      617.249
      7061.69      616.889
      7074.23      616.641
      7086.78      614.165
      7099.33      609.800
      7111.88      605.663
      7124.42      601.449
      7136.97      597.252
      7149.52      595.828
      7162.07      596.453
      7174.61      600.133
      7187.16      598.103
      7199.71      591.612
      7212.25      586.413
      7224.80      581.804
      7237.35      577.765
      7249.90      575.835
      7262.44      573.273
      7274.99      566.607
      7287.54      565.159
      7300.09      567.496
      7312.63      569.238
      7325.18      568.514
      7337.73      564.758
      7350.27      562.947
      7362.82      561.313
      7375.37      558.582
      7387.92      559.488
      7400.46      561.617
      7413.01      557.697
      7425.56      554.792
      7438.11      554.117
      7450.65      551.277
      7463.20      548.296
      7475.75      546.354
      7488.29      544.097
      7500.84      542.576
      7513.39      545.434
      7525.94      551.219
      7538.48      559.167
      7551.03      563.620
      7563.58      559.911
      7576.12      540.449
      7588.67      496.822
      7601.22      462.741
      7613.77      513.972
      7626.31      537.854
      7638.86      525.594
      7651.41      523.466
      7663.96      511.851
      7676.50      479.137
      7689.05      481.062
      7701.60      496.461
      7714.15      500.452
      7726.69      501.652
      7739.24      501.676
      7751.79      502.722
      7764.33      502.366
      7776.88      499.606
      7789.43      502.065
      7801.98      504.715
      7814.52      500.847
      7827.07      498.410
      7839.62      496.294
      7852.16      486.132
      7864.71      477.072
      7877.26      472.370
      7889.81      470.360
      7902.35      469.314
      7914.90      468.264
      7927.45      469.116
      7939.99      471.753
      7952.54      476.344
      7965.09      476.853
      7977.64      471.063
      7990.18      463.344
      8002.73      456.673
      8015.28      454.559
      8027.83      456.287
      8040.37      460.710
      8052.92      466.762
      8065.47      468.258
      8078.02      463.462
      8090.56      456.291
      8103.11      453.477
      8115.66      462.437
      8128.20      465.325
      8140.75      462.506
      8153.30      452.227
      8165.85      446.300
      8178.39      446.894
      8190.94      452.188
      8203.49      453.699
      8216.03      444.448
      8228.58      436.298
      8241.13      432.598
      8253.68      442.986
      8266.22      448.738
      8278.77      447.486
      8291.32      441.938
      8303.86      439.986
      8316.41      446.513
      8328.96      444.698
      8341.51      436.860
      8354.05      422.608
      8366.60      420.870
      8379.15      431.309
      8391.70      443.021
      8404.24      445.585
      8416.79      432.731
      8429.34      433.530
      8441.88      436.443
      8454.43      426.199
      8466.98      425.706
      8479.53      432.792
      8492.07      429.772
      8504.62      427.294
      8517.17      428.757
      8529.72      426.702
      8542.26      426.520
      8554.81      435.754
      8567.36      427.464
      8579.90      409.241
      8592.45      412.130
      8605.00      417.661
      8617.55      420.793
      8630.09      417.868
      8642.64      409.630
      8655.19      393.657
      8667.73      404.897
      8680.28      430.733
      8692.83      436.615
      8705.38      432.547
      8717.92      419.321
      8730.47      397.182
      8743.02      384.645
      8755.57      401.939
      8768.11      422.658
      8780.66      442.759
      8793.21      456.021
      8805.76      458.092
      8818.30      446.649
      8830.85      419.054
      8843.40      390.339
      8855.94      370.502
      8868.49      382.078
      8881.04      410.176
      8893.59      435.297
      8906.13      448.335
      8918.68      449.145
      8931.23      449.610
      8943.78      440.894
      8956.32      414.909
      8968.87      399.300
      8981.42      385.304
      8993.96      357.337
      9006.51      344.679
      9019.06      351.734
      9031.61      387.373
      9044.15      414.597
      9056.70      414.893
      9069.25      408.622
      9081.80      404.756
      9094.34      416.971
      9106.89      422.688
      9119.44      421.446
      9131.98      419.954
      9144.53      421.402
      9157.08      426.786
      9169.63      422.103
      9182.17      411.903
      9194.72      397.527
      9207.27      368.382
      9219.81      335.506
      9232.36      343.596
      9244.91      360.435
      9257.46      378.272
      9270.00      396.511
      9282.55      409.123
      9295.10      406.421
      9307.65      404.713
      9320.19      403.921
      9332.74      399.611
      9345.29      393.124
      9357.83      384.745
      9370.38      377.771
      9382.93      378.141
      9395.48      394.100
      9408.02      378.348
      9420.57      346.558
      9433.12      334.793
      9445.66      343.752
      9458.21      371.528
      9470.76      380.153
      9483.31      377.712
      9495.85      363.964
      9508.40      347.637
      9520.95      329.407
      9533.50      308.388
      9546.04      301.094
      9558.59      311.410
      9571.14      341.337
      9583.69      362.403
      9596.23      355.486
      9608.78      353.526
      9621.33      355.703
      9633.87      360.723
      9646.42      361.858
      9658.97      359.231
      9671.52      359.306
      9684.06      358.396
      9696.61      354.675
      9709.16      352.136
      9721.71      353.303
      9734.25      364.435
      9746.80      365.514
      9759.35      358.421
      9771.89      360.539
      9784.44      360.521
      9796.99      354.054
      9809.53      353.757
      9822.08      355.583
      9834.63      355.294
      9847.18      352.273
      9859.72      348.600
      9872.27      352.878
      9884.82      353.574
      9897.37      346.844
      9909.91      342.445
      9922.46      340.124
      9935.01      340.952
      9947.55      346.634
      9960.10      353.023
      9972.65      346.512
      9985.20      342.931
      9997.74      343.869
      10010.3      319.399
      10022.8      291.713
      10035.4      278.750
      10047.9      281.491
      10060.5      294.333
      10073.0      309.733
      10085.6      323.131
      10098.1      332.773
      10110.7      333.822
      10123.2      331.151
      10135.8      326.465
      10148.3      325.997
      10160.9      329.480
      10173.4      338.402
      10186.0      337.056
      10198.5      324.819
      10211.0      322.605
      10223.6      326.972
      10236.1      338.268
      10248.7      341.219
      10261.2      339.561
      10273.8      337.631
      10286.3      333.509
      10298.9      326.654
      10311.4      315.731
      10324.0      309.410
      10336.5      313.338
      10349.1      319.879
      10361.6      323.994
      10374.2      316.711
      10386.7      313.466
      10399.3      314.358
      10411.8      310.850
      10424.4      307.426
      10436.9      305.274
      10449.4      296.251
      10462.0      287.045
      10474.5      286.741
      10487.1      291.193
      10499.6      297.923
      10512.2      300.089
      10524.7      297.751
      10537.3      291.315
      10549.8      298.405
      10562.4      306.044
      10574.9      300.297
      10587.5      294.333
      10600.0      289.789
      10612.6      288.366
      10625.1      287.541
      10637.7      286.760
      10650.2      285.954
      10662.7      285.126
      10675.3      284.339
      10687.8      283.509
      10700.4      282.720
      10712.9      281.885
      10725.5      281.113
      10738.0      280.276
      10750.6      279.470
      10763.1      278.669
      10775.7      277.865
      10788.2      277.072
      10800.8      276.231
      10813.3      275.437
      10825.9      274.597
      10838.4      273.781
      10851.0      272.961
      10863.5      272.151
      10876.1      271.314
      10888.6      270.509
      10901.1      269.685
      10913.7      268.875
      10926.2      268.040
      10938.8      267.230
      10951.3      266.393
      10963.9      265.582
      10976.4      264.761
      10989.0      263.944
      11001.5      263.132
      11014.1      262.294
      11026.6      261.493
      11039.2      260.673
      11051.7      259.837
      11064.3      259.047
      11076.8      258.204
      11089.4      257.400
      11101.9      256.588
      11114.4      255.750
      11127.0      254.950
      11139.5      254.118
      11152.1      253.314
      11164.6      252.493
      11177.2      251.661
      11189.7      250.864
      11202.3      250.047
      11214.8      249.224
      11227.4      248.432
      11239.9      247.620
      11252.5      246.815
      11265.0      246.021
      11277.6      245.214
      11290.1      244.386
      11302.7      243.607
      11315.2      242.793
      11327.8      241.987
      11340.3      241.174
      11352.8      240.384
      11365.4      239.578
      11377.9      238.765
      11390.5      237.960
      11403.0      237.158
      11415.6      236.375
      11428.1      235.616
      11440.7      234.819
      11453.2      234.045
      11465.8      233.260
      11478.3      232.471
      11490.9      231.698
      11503.4      230.913
      11516.0      230.150
      11528.5      229.349
      11541.1      228.582
      11553.6      227.785
      11566.1      227.023
      11578.7      226.238
      11591.2      225.451
      11603.8      224.696
      11616.3      223.931
      11628.9      223.179
      11641.4      222.445
      11654.0      221.683
      11666.5      220.949
      11679.1      220.190
      11691.6      219.440
      11704.2      218.686
      11716.7      217.933
      11729.3      217.192
      11741.8      216.449
      11754.4      215.693
      11766.9      214.947
      11779.5      214.193
      11792.0      213.455
      11804.5      212.705
      11817.1      212.014
      11829.6      211.284
      11842.2      210.577
      11854.7      209.856
      11867.3      209.159
      11879.8      208.449
      11892.4      207.723
      11904.9      207.020
      11917.5      206.302
      11930.0      205.595
      11942.6      204.889
      11955.1      204.169
      11967.7      203.461
      11980.2      202.744
      11992.8      202.034
      12005.3      201.336
      12017.9      200.686
      12030.4      199.998
      12042.9      199.335
      12055.5      198.664
      12068.0      198.002
      12080.6      197.328
      12093.1      196.657
      12105.7      195.989
      12118.2      195.312
      12130.8      194.657
      12143.3      193.982
      12155.9      193.307
      12168.4      192.653
      12181.0      191.968
      12193.5      191.314
      12206.1      190.653
      12218.6      190.029
      12231.2      189.411
      12243.7      188.791
      12256.2      188.167
      12268.8      187.541
      12281.3      186.917
      12293.9      186.296
      12306.4      185.669
      12319.0      185.052
      12331.5      184.422
      12344.1      183.802
      12356.6      183.175
      12369.2      182.560
      12381.7      181.930
      12394.3      181.305
      12406.8      180.775
      12419.4      180.294
      12431.9      179.821
      12444.5      179.356
      12457.0      178.883
      12469.6      178.413
      12482.1      177.944
      12494.6      177.468
      12507.2      176.997
      12519.7      176.532
      12532.3      176.063
      12544.8      175.582
      12557.4      175.114
      12569.9      174.647
      12582.5      174.173
