# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_51  G5V      0.98   0.66   0.42   0.81   1.23   1.62
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      895.930  2.62613e-11
      908.286  8.09511e-11
      920.641  1.57964e-10
      932.996  3.44504e-10
      945.352  5.90236e-10
      957.707  8.97335e-10
      970.062  1.41817e-09
      982.417  2.06579e-09
      994.773  3.07609e-09
      1007.13  4.31641e-09
      1019.48  6.13136e-09
      1031.84  8.34073e-09
      1044.19  1.18682e-08
      1056.55  1.63674e-08
      1068.90  2.29258e-08
      1081.26  3.13159e-08
      1093.61  1.80526e-07
      1105.97  4.52459e-07
      1118.32  6.95589e-07
      1130.68  9.08285e-07
      1143.04  1.17277e-06
      1155.39  1.56867e-06
      1167.75  2.02934e-06
      1180.10  2.54886e-06
      1192.46  3.19762e-06
      1204.81  4.04557e-06
      1217.17  5.18964e-06
      1229.52  6.83878e-06
      1241.88  8.79521e-06
      1254.23  1.11477e-05
      1266.59  1.38405e-05
      1278.94  1.69155e-05
      1291.30  2.09592e-05
      1303.65  2.55073e-05
      1316.01  3.06583e-05
      1328.36  3.64882e-05
      1340.72  4.30016e-05
      1353.07  5.11223e-05
      1365.43  6.09391e-05
      1377.79  7.28312e-05
      1390.14  8.75064e-05
      1402.50  0.000104113
      1414.85  0.000123736
      1427.21  0.000147102
      1439.56  0.000173989
      1451.92  0.000207279
      1464.27  0.000244449
      1476.63  0.000286709
      1488.98  0.000339768
      1501.34  0.000711180
      1513.69   0.00233199
      1526.05   0.00402695
      1538.40   0.00556431
      1550.76   0.00604564
      1563.11   0.00650639
      1575.47   0.00761284
      1587.82   0.00900316
      1600.18    0.0105539
      1612.53    0.0121337
      1624.89    0.0136616
      1637.25    0.0150902
      1649.60    0.0162246
      1661.96    0.0445352
      1674.31     0.163909
      1686.67     0.262579
      1699.02     0.335465
      1711.38     0.394365
      1723.73     0.460881
      1736.09     0.547919
      1748.44     0.576908
      1760.80     0.598701
      1773.15     0.727731
      1785.51     0.797230
      1797.86     0.773198
      1810.22     0.702462
      1822.57     0.643720
      1834.93     0.660230
      1847.28     0.741401
      1859.64     0.861562
      1872.00     0.955395
      1884.35      1.05279
      1896.71      1.16593
      1909.06      1.30746
      1921.42      1.41460
      1933.77      1.34057
      1946.13      1.30195
      1958.48      1.34166
      1970.84      1.62538
      1983.19      1.89375
      1995.55      1.97756
      2007.90      2.70383
      2020.26      2.90610
      2032.61      3.30530
      2044.97      4.05260
      2057.32      4.25956
      2069.68      5.01080
      2082.03      6.29897
      2094.39      7.09238
      2106.74      7.58702
      2119.10      8.91625
      2131.46      8.41191
      2143.81      10.7946
      2156.17      10.0062
      2168.52      9.15688
      2180.88      11.7687
      2193.23      12.6166
      2205.59      12.5330
      2217.94      11.9648
      2230.30      16.0371
      2242.65      16.3636
      2255.01      14.4359
      2267.36      10.3665
      2279.72      13.2924
      2292.07      13.3547
      2304.43      14.0873
      2316.78      13.8484
      2329.14      13.7253
      2341.49      10.9496
      2353.85      14.3274
      2366.20      13.5945
      2378.56      12.4241
      2390.92      12.7173
      2403.27      11.5617
      2415.63      14.9632
      2427.98      19.2961
      2440.34      17.8714
      2452.69      14.3698
      2465.05      14.3526
      2477.40      15.0977
      2489.76      13.4031
      2502.11      17.0507
      2514.47      13.3239
      2526.82      12.8509
      2539.18      16.2681
      2551.53      20.8476
      2563.89      28.2092
      2576.24      36.2744
      2588.60      34.6310
      2600.95      25.8147
      2613.31      25.8296
      2625.67      30.3664
      2638.02      58.4297
      2650.38      69.2184
      2662.73      70.5481
      2675.09      70.4597
      2687.44      67.6153
      2699.80      73.3381
      2712.15      67.8657
      2724.51      56.7139
      2736.86      49.4581
      2749.22      41.9465
      2761.57      66.5955
      2773.93      65.7580
      2786.28      42.1129
      2798.64      23.6797
      2810.99      50.1770
      2823.35      82.3288
      2835.70      90.7619
      2848.06      51.7427
      2860.42      79.9255
      2872.77      100.093
      2885.13      95.1980
      2897.48      150.589
      2909.84      168.624
      2922.19      148.370
      2934.55      154.299
      2946.90      148.453
      2959.26      163.375
      2971.61      139.877
      2983.97      135.610
      2996.32      134.636
      3008.68      132.714
      3021.03      126.856
      3033.39      179.345
      3045.74      174.773
      3058.10      158.317
      3070.45      168.618
      3082.81      172.729
      3095.16      133.407
      3107.52      168.569
      3119.88      185.654
      3132.23      186.995
      3144.59      190.002
      3156.94      183.946
      3169.30      195.565
      3181.65      200.087
      3194.01      203.526
      3206.36      202.219
      3218.72      197.953
      3231.07      218.967
      3243.43      239.766
      3255.78      245.641
      3268.14      238.648
      3280.49      232.834
      3292.85      256.878
      3305.20      254.172
      3317.56      244.314
      3329.91      237.755
      3342.27      246.070
      3354.62      243.209
      3366.98      233.168
      3379.34      251.606
      3391.69      267.164
      3404.05      270.749
      3416.40      273.751
      3428.76      264.862
      3441.11      243.280
      3453.47      258.372
      3465.82      265.691
      3478.18      257.657
      3490.53      263.634
      3502.89      293.952
      3515.24      296.932
      3527.60      297.205
      3539.95      333.150
      3552.31      322.814
      3564.66      280.676
      3577.02      248.938
      3589.38      282.319
      3601.73      313.093
      3614.09      302.038
      3626.44      331.045
      3638.80      331.325
      3651.15      365.946
      3663.51      397.934
      3675.86      384.004
      3688.22      391.669
      3700.57      392.949
      3712.93      380.018
      3725.28      353.079
      3737.64      300.822
      3749.99      331.458
      3762.35      384.735
      3774.70      426.858
      3787.06      411.932
      3799.41      403.248
      3811.77      363.451
      3824.12      273.506
      3836.48      282.276
      3848.83      324.178
      3861.19      325.411
      3873.55      324.913
      3885.90      346.719
      3898.26      396.550
      3910.61      404.505
      3922.97      325.494
      3935.32      282.620
      3947.68      386.774
      3960.03      351.849
      3972.39      383.646
      3984.74      556.843
      3997.10      613.033
      4009.45      647.592
      4021.81      671.689
      4034.16      680.495
      4046.52      662.509
      4058.87      647.430
      4071.23      654.364
      4083.58      686.682
      4095.94      667.708
      4108.29      688.047
      4120.65      698.744
      4133.01      695.515
      4145.36      684.609
      4157.72      680.398
      4170.07      670.836
      4182.43      674.792
      4194.78      673.647
      4207.14      708.868
      4219.49      684.225
      4231.85      669.117
      4244.20      675.566
      4256.56      667.839
      4268.91      666.158
      4281.27      650.649
      4293.62      578.092
      4305.98      593.384
      4318.33      707.506
      4330.69      708.550
      4343.04      749.179
      4355.40      782.655
      4367.75      764.423
      4380.11      717.112
      4392.47      731.162
      4404.82      755.953
      4417.18      787.666
      4429.53      796.991
      4441.89      795.234
      4454.24      781.557
      4466.60      814.464
      4478.95      839.939
      4491.31      848.407
      4503.66      883.799
      4516.02      863.990
      4528.37      820.585
      4540.73      839.226
      4553.08      863.569
      4565.44      866.758
      4577.79      860.017
      4590.15      854.950
      4602.51      878.521
      4614.86      906.414
      4627.21      905.269
      4639.57      887.830
      4651.93      889.731
      4664.28      876.528
      4676.64      881.955
      4688.99      890.820
      4701.35      886.261
      4713.70      907.092
      4726.06      919.875
      4738.41      938.216
      4750.77      940.060
      4763.12      931.352
      4775.48      961.125
      4787.83      972.666
      4800.19      981.973
      4812.54      991.999
      4824.90      985.304
      4837.25      970.576
      4849.61      905.678
      4861.97      863.845
      4874.32      903.144
      4886.68      917.199
      4899.03      938.322
      4911.39      911.261
      4923.74      924.233
      4936.10      939.368
      4948.45      957.240
      4960.81      948.941
      4973.16      943.742
      4985.52      936.275
      4997.87      919.109
      5010.23      899.491
      5022.58      914.252
      5034.94      928.187
      5047.29      950.353
      5059.65      956.371
      5072.00      931.537
      5084.36      932.831
      5096.71      932.258
      5109.07      953.427
      5121.43      948.323
      5133.78      938.498
      5146.14      947.152
      5158.49      901.699
      5170.85      867.357
      5183.20      888.415
      5195.56      919.996
      5207.91      947.377
      5220.27      948.681
      5232.62      954.239
      5244.98      979.107
      5257.33      940.197
      5269.69      923.405
      5282.04      983.945
      5294.40      1003.76
      5306.75      1021.94
      5319.11      989.759
      5331.46      971.328
      5343.82      1003.15
      5356.18      1022.66
      5368.53      1003.84
      5380.89      1007.03
      5393.24      977.795
      5405.60      968.356
      5417.95      993.733
      5430.31      1005.58
      5442.66      1016.86
      5455.02      1028.12
      5467.37      1014.42
      5479.73      1003.97
