#   Date                    Aberrations in Microns RMS (V2,V3 system)                          -------- Cold Mask -------     OTA     Pixsize
#dd mm yyyy      Z4        Z5        Z6        Z7        Z8        Z9        Z10       Z11       X         Y        Rot       Rot     arcsec 
#--------------------------------------------------------------------------------------------------------------------------------------------
 15  4 1997   -0.0165    0.0150    0.0000   -0.0030    0.0284    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  1  7 1997    0.0056    0.0150    0.0008   -0.0058    0.0311    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  1  9 1997    0.0089    0.0150    0.0014   -0.0081    0.0332    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
 11  1 1998   -0.0362    0.0150    0.0028   -0.0129    0.0377    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
 12  1 1998    0.0757    0.0150    0.0028   -0.0129    0.0377    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  1  2 1998    0.0757    0.0150    0.0030   -0.0136    0.0384    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  2  2 1998   -0.0047    0.0150    0.0030   -0.0137    0.0384    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  3  6 1998    0.0150    0.0150    0.0042   -0.0181    0.0426    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  4  6 1998    0.0870    0.0150    0.0042   -0.0181    0.0426    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
 28  6 1998    0.0870    0.0150    0.0044   -0.0190    0.0434    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
 29  6 1998   -0.0056    0.0150    0.0044   -0.0190    0.0435    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
  1  9 1998   -0.0056    0.0150    0.0051   -0.0214    0.0456    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
 31 12 1998   -0.0056    0.0150    0.0063   -0.0258    0.0498    0.0163    0.0068   -0.0122    0.0180    0.0870    0.2700    0.0000   0.04297
