# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_3  O6      -1.34  -0.31  -0.14  -0.30  -0.78  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023      1887.06
      524.570      2145.25
      537.117      2129.35
      549.664      2260.17
      562.212      2437.17
      574.759      2500.71
      587.306      2545.37
      599.853      2662.77
      612.401      2791.05
      624.948      2920.48
      637.495      3047.63
      650.042      3137.63
      662.590      3214.76
      675.137      3272.41
      687.684      3293.61
      700.231      3315.09
      712.779      3443.62
      725.326      3640.38
      737.873      3797.20
      750.420      3816.20
      762.968      3823.50
      775.515      3859.99
      788.062      3933.20
      800.609      4006.58
      813.157      4039.32
      825.704      3973.26
      838.251      3902.81
      850.798      3863.23
      863.346      3968.63
      875.893      4092.53
      888.440      4275.12
      900.987      5068.32
      913.535      6023.55
      926.082      8393.60
      938.629      12057.5
      951.177      13709.9
      963.724      14520.2
      976.271      14123.3
      988.818      13749.0
      1001.37      13835.2
      1013.91      13969.3
      1026.46      14131.4
      1039.01      14176.6
      1051.55      13825.2
      1064.10      13576.9
      1076.65      13764.1
      1089.20      13855.6
      1101.74      13539.6
      1114.29      13195.3
      1126.84      12782.0
      1139.39      12366.2
      1151.93      12390.3
      1164.48      12245.6
      1177.03      11664.5
      1189.57      11079.3
      1202.12      10009.3
      1214.67      7395.48
      1227.22      8732.64
      1239.76      12736.4
      1252.31      14217.7
      1264.86      15291.8
      1277.41      16395.0
      1289.95      16804.1
      1302.50      16814.9
      1315.05      16381.7
      1327.59      15825.7
      1340.14      15347.5
      1352.69      15681.8
      1365.24      15799.0
      1377.78      15400.1
      1390.33      14441.3
      1402.88      13765.8
      1415.42      14291.3
      1427.97      14415.1
      1440.52      14254.6
      1453.07      14084.3
      1465.61      14200.8
      1478.16      14644.9
      1490.71      14802.3
      1503.26      14963.6
      1515.80      15294.4
      1528.35      13983.8
      1540.90      12062.5
      1553.44      11468.8
      1565.99      11619.1
      1578.54      12316.9
      1591.09      12157.0
      1603.63      11462.6
      1616.18      10135.9
      1628.73      9963.18
      1641.28      10361.6
      1653.82      10724.8
      1666.37      11001.2
      1678.92      11162.2
      1691.46      11022.9
      1704.01      10794.0
      1716.56      10540.1
      1729.11      10636.6
      1741.65      10867.3
      1754.20      11018.0
      1766.75      11030.2
      1779.30      10922.4
      1791.84      10764.5
      1804.39      10594.4
      1816.94      10420.5
      1829.48      10243.0
      1842.03      10074.4
      1854.58      9939.59
      1867.13      9822.88
      1879.67      9692.37
      1892.22      9390.51
      1904.77      9166.89
      1917.32      9097.69
      1929.86      8734.59
      1942.41      8364.42
      1954.96      8290.73
      1967.50      8106.49
      1980.05      7856.92
      1992.60      7754.72
      2005.15      7672.43
      2017.69      7575.94
      2030.24      7370.80
      2042.79      7128.97
      2055.33      6888.96
      2067.88      6726.62
      2080.43      6622.33
      2092.98      6570.42
      2105.52      6511.92
      2118.07      6428.68
      2130.62      6261.04
      2143.17      6128.08
      2155.71      6142.28
      2168.26      6096.66
      2180.81      6016.12
      2193.35      5946.27
      2205.90      5911.00
      2218.45      5913.39
      2231.00      5910.49
      2243.54      5880.51
      2256.09      5794.15
      2268.64      5698.81
      2281.19      5607.52
      2293.73      5548.69
      2306.28      5665.01
      2318.83      5927.46
      2331.37      5947.19
      2343.92      5920.76
      2356.47      5913.20
      2369.02      5746.27
      2381.56      5590.71
      2394.11      5758.19
      2406.66      5812.18
      2419.20      5752.12
      2431.75      5820.75
      2444.30      5884.87
      2456.85      5889.83
      2469.39      5858.40
      2481.94      5788.64
      2494.49      5639.42
      2507.04      5557.38
      2519.58      5538.03
      2532.13      5544.41
      2544.68      5548.18
      2557.22      5534.90
      2569.77      5431.11
      2582.32      5308.30
      2594.87      5234.88
      2607.41      5251.63
      2619.96      5307.58
      2632.51      5222.79
      2645.06      5117.21
      2657.60      5022.64
      2670.15      5016.08
      2682.70      5032.77
      2695.24      5029.61
      2707.79      4980.32
      2720.34      4906.67
      2732.89      4860.39
      2745.43      4838.45
      2757.98      4837.28
      2770.53      4767.69
      2783.07      4684.28
      2795.62      4620.86
      2808.17      4622.90
      2820.72      4643.10
      2833.26      4569.89
      2845.81      4551.03
      2858.36      4597.42
      2870.91      4517.58
      2883.45      4422.14
      2896.00      4371.76
      2908.55      4341.52
      2921.09      4307.02
      2933.64      4213.44
      2946.19      4126.83
      2958.74      4060.95
      2971.28      4053.62
      2983.83      4044.20
      2996.38      4001.51
      3008.93      3957.35
      3021.47      3912.60
      3034.02      3867.44
      3046.57      3864.72
      3059.11      3897.48
      3071.66      3899.48
      3084.21      3890.95
      3096.76      3874.84
      3109.30      3844.15
      3121.85      3820.12
      3134.40      3840.91
      3146.95      3848.90
      3159.49      3836.03
      3172.04      3775.03
      3184.59      3724.16
      3197.13      3708.01
      3209.68      3730.57
      3222.23      3742.32
      3234.78      3674.66
      3247.32      3636.73
      3259.87      3629.53
      3272.42      3580.89
      3284.97      3449.21
      3297.51      3476.22
      3310.06      3394.46
      3322.61      3465.10
      3335.15      3482.25
      3347.70      3454.66
      3360.25      3390.10
      3372.80      3384.26
      3385.34      3333.07
      3397.89      3269.61
      3410.44      3198.43
      3422.98      3188.78
      3435.53      3138.93
      3448.08      3173.95
      3460.63      3174.08
      3473.17      3140.21
      3485.72      3114.86
      3498.27      3173.26
      3510.82      3161.73
      3523.36      3109.58
      3535.91      3089.71
      3548.46      3049.91
      3561.00      2978.47
      3573.55      2903.99
      3586.10      2907.89
      3598.65      2858.63
      3611.19      2777.73
      3623.74      2737.45
      3636.29      2727.21
      3648.84      2742.70
      3661.38      2714.48
      3673.93      2653.64
      3686.48      2602.20
      3699.02      2574.44
      3711.57      2535.57
      3724.12      2549.51
      3736.67      2552.05
      3749.21      2510.92
      3761.76      2472.10
      3774.31      2536.05
      3786.86      2563.17
      3799.40      2542.71
      3811.95      2616.44
      3824.50      2557.77
      3837.04      2443.35
      3849.59      2502.43
      3862.14      2521.65
      3874.69      2432.27
      3887.23      2278.70
      3899.78      2318.70
      3912.33      2407.93
      3924.87      2345.80
      3937.42      2339.09
      3949.97      2342.29
      3962.52      2233.93
      3975.06      2223.39
      3987.61      2377.51
      4000.16      2409.09
      4012.71      2377.36
      4025.25      2330.23
      4037.80      2377.56
      4050.35      2387.03
      4062.89      2370.08
      4075.44      2324.18
      4087.99      2256.94
      4100.54      2157.86
      4113.08      2251.00
      4125.63      2363.24
      4138.18      2333.22
      4150.73      2286.59
      4163.27      2245.38
      4175.82      2219.46
      4188.37      2159.41
      4200.91      2142.66
      4213.46      2146.63
      4226.01      2159.33
      4238.56      2141.33
      4251.10      2111.47
      4263.65      2098.00
      4276.20      2086.76
      4288.74      2085.40
      4301.29      2055.15
      4313.84      2016.86
      4326.39      1915.40
      4338.93      1824.49
      4351.48      1925.10
      4364.03      1986.70
      4376.58      1981.99
