# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_68  M3V      2.66   1.44   1.16   2.47   3.71   4.60
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      5410.64      1115.95
      5422.45      1165.65
      5434.26      1130.50
      5446.07      1056.47
      5457.88      969.410
      5469.69      980.889
      5481.50      1027.99
      5493.31      1029.02
      5505.12      974.853
      5516.93      966.189
      5528.74      985.272
      5540.55      986.459
      5552.36      1007.01
      5564.17      1046.68
      5575.98      1090.27
      5587.79      1072.13
      5599.60      1040.76
      5611.41      1023.79
      5623.22      1034.32
      5635.03      1054.52
      5646.84      1091.32
      5658.65      1118.32
      5670.46      1115.92
      5682.27      1155.75
      5694.08      1201.65
      5705.89      1251.17
      5717.70      1275.13
      5729.51      1298.18
      5741.32      1353.17
      5753.13      1367.72
      5764.94      1370.93
      5776.75      1366.36
      5788.57      1371.34
      5800.38      1377.22
      5812.19      1365.03
      5824.00      1339.69
      5835.81      1295.34
      5847.62      1235.92
      5859.43      1159.03
      5871.24      1020.56
      5883.05      910.846
      5894.86      899.123
      5906.67      946.404
      5918.48      1032.84
      5930.29      1078.93
      5942.10      1113.02
      5953.91      1144.09
      5965.72      1167.02
      5977.53      1183.11
      5989.34      1224.62
      6001.15      1272.07
      6012.96      1307.06
      6024.77      1350.27
      6036.58      1407.00
      6048.39      1455.62
      6060.20      1499.21
      6072.01      1536.70
      6083.82      1565.23
      6095.63      1578.22
      6107.44      1575.52
      6119.25      1559.92
      6131.06      1519.77
      6142.87      1450.56
      6154.68      1322.92
      6166.49      1223.00
      6178.30      1152.63
      6190.11      1126.01
      6201.92      1111.02
      6213.73      1093.10
      6225.54      1081.99
      6237.35      1081.89
      6249.16      1135.34
      6260.97      1209.29
      6272.79      1284.60
      6284.60      1356.88
      6296.41      1425.01
      6308.22      1510.39
      6320.03      1599.88
      6331.84      1662.56
      6343.65      1709.25
      6355.46      1733.50
      6367.27      1752.03
      6379.08      1771.76
      6390.89      1828.89
      6402.70      1897.22
      6414.51      1972.35
      6426.32      2041.38
      6438.13      2102.10
      6449.94      2131.92
      6461.75      2159.77
      6473.56      2212.30
      6485.37      2245.76
      6497.18      2258.25
      6508.99      2346.68
      6520.80      2453.18
      6532.61      2503.47
      6544.42      2490.85
      6556.23      2391.91
      6568.04      2339.94
      6579.85      2316.03
      6591.66      2308.48
      6603.47      2289.23
      6615.28      2239.36
      6627.09      2161.25
      6638.90      2068.14
      6650.71      2008.73
      6662.52      1953.73
      6674.33      1888.35
      6686.14      1829.79
      6697.95      1779.51
      6709.76      1746.82
      6721.57      1722.48
      6733.38      1707.61
      6745.19      1694.19
      6757.00      1681.64
      6768.82      1674.84
      6780.63      1667.63
      6792.44      1646.96
      6804.25      1637.22
      6816.06      1649.17
      6827.87      1682.60
      6839.68      1718.90
      6851.49      1698.46
      6863.30      1694.75
      6875.11      1751.40
      6886.92      1831.31
      6898.73      1928.24
      6910.54      2041.58
      6922.35      2155.03
      6934.16      2257.03
      6945.97      2335.26
      6957.78      2392.94
      6969.59      2477.74
      6981.40      2565.93
      6993.21      2632.06
      7005.02      2711.67
      7016.83      2809.76
      7028.64      2862.87
      7040.45      2880.71
      7052.26      2820.64
      7064.07      2708.59
      7075.88      2528.26
      7087.69      2430.15
      7099.50      2376.64
      7111.31      2294.51
      7123.12      2214.12
      7134.93      2152.03
      7146.74      2179.80
      7158.55      2276.89
      7170.36      2376.65
      7182.17      2463.62
      7193.98      2510.49
      7205.79      2562.70
      7217.60      2627.57
      7229.41      2749.67
      7241.22      2888.46
      7253.03      3012.91
      7264.84      3134.83
      7276.65      3255.24
      7288.46      3368.08
      7300.28      3480.06
      7312.09      3607.66
      7323.90      3714.42
      7335.71      3778.94
      7347.52      3852.66
      7359.33      3935.01
      7371.14      4031.82
      7382.95      4117.76
      7394.76      4169.00
      7406.57      4196.68
      7418.38      4208.45
      7430.19      4241.33
      7442.00      4282.81
      7453.81      4331.33
      7465.62      4367.60
      7477.43      4390.19
      7489.24      4416.11
      7501.05      4447.94
      7512.86      4497.82
