# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_2  O8F     -1.38  -0.32  -0.13  -0.30  -0.77  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023      22181.3
      524.570      22541.7
      537.117      22342.6
      549.664      22981.7
      562.212      23891.4
      574.759      24227.4
      587.306      24416.1
      599.853      24692.6
      612.401      24915.6
      624.948      24800.6
      637.495      24660.0
      650.042      24908.1
      662.590      25289.6
      675.137      25469.5
      687.684      25272.7
      700.231      25070.9
      712.779      25267.2
      725.326      25716.5
      737.873      25943.1
      750.420      25400.7
      762.968      24792.9
      775.515      24536.6
      788.062      24723.0
      800.609      24911.2
      813.157      24938.9
      825.704      24576.6
      838.251      24197.0
      850.798      23884.8
      863.346      23889.4
      875.893      23934.4
      888.440      24042.3
      900.987      24802.8
      913.535      25736.7
      926.082      29752.7
      938.629      36798.3
      951.177      41500.2
      963.724      44810.2
      976.271      45238.0
      988.818      45196.3
      1001.37      44418.9
      1013.91      43555.8
      1026.46      42617.6
      1039.01      41771.2
      1051.55      41250.1
      1064.10      40749.0
      1076.65      40226.7
      1089.20      39631.6
      1101.74      38813.3
      1114.29      38474.2
      1126.84      38502.3
      1139.39      37697.4
      1151.93      37183.6
      1164.48      36463.6
      1177.03      35291.4
      1189.57      34026.9
      1202.12      32907.4
      1214.67      32363.3
      1227.22      31993.6
      1239.76      31670.3
      1252.31      31020.9
      1264.86      30376.2
      1277.41      29816.8
      1289.95      29050.5
      1302.50      28210.8
      1315.05      27372.2
      1327.59      26632.4
      1340.14      25962.7
      1352.69      25313.1
      1365.24      24782.6
      1377.78      24409.4
      1390.33      24039.5
      1402.88      23667.1
      1415.42      23288.0
      1427.97      22975.0
      1440.52      22731.3
      1453.07      22634.8
      1465.61      22562.5
      1478.16      22479.9
      1490.71      22229.9
      1503.26      21835.6
      1515.80      21208.6
      1528.35      20269.7
      1540.90      19150.2
      1553.44      17961.3
      1565.99      17804.3
      1578.54      18700.9
      1591.09      18772.5
      1603.63      18594.8
      1616.18      18340.7
      1628.73      18091.7
      1641.28      17848.7
      1653.82      17616.6
      1666.37      17369.8
      1678.92      17106.8
      1691.46      16835.1
      1704.01      16587.4
      1716.56      16393.0
      1729.11      16266.1
      1741.65      16137.0
      1754.20      15892.8
      1766.75      15727.1
      1779.30      15621.6
      1791.84      15388.7
      1804.39      15117.5
      1816.94      14832.6
      1829.48      14701.2
      1842.03      14585.5
      1854.58      14317.9
      1867.13      14091.7
      1879.67      13907.4
      1892.22      13725.4
      1904.77      13540.1
      1917.32      13354.1
      1929.86      13255.3
      1942.41      13164.4
      1954.96      13002.3
      1967.50      12814.2
      1980.05      12615.2
      1992.60      12438.9
      2005.15      12272.2
      2017.69      12112.5
      2030.24      11949.5
      2042.79      11822.4
      2055.33      11795.4
      2067.88      11676.2
      2080.43      11496.7
      2092.98      11329.4
      2105.52      11178.4
      2118.07      11046.6
      2130.62      10918.5
      2143.17      10788.7
      2155.71      10653.3
      2168.26      10512.5
      2180.81      10370.0
      2193.35      10234.3
      2205.90      10106.3
      2218.45      9986.54
      2231.00      9872.43
      2243.54      9745.57
      2256.09      9588.58
      2268.64      9446.05
      2281.19      9311.89
      2293.73      9181.01
      2306.28      9061.91
      2318.83      8956.05
      2331.37      8869.64
      2343.92      8777.28
      2356.47      8661.59
      2369.02      8506.74
      2381.56      8348.82
      2394.11      8246.55
      2406.66      8161.88
      2419.20      8084.91
      2431.75      7985.79
      2444.30      7887.48
      2456.85      7797.48
      2469.39      7645.24
      2481.94      7481.68
      2494.49      7369.54
      2507.04      7288.86
      2519.58      7233.89
      2532.13      7207.61
      2544.68      7164.01
      2557.22      7083.66
      2569.77      6994.16
      2582.32      6903.25
      2594.87      6819.39
      2607.41      6740.27
      2619.96      6663.76
      2632.51      6588.19
      2645.06      6513.01
      2657.60      6438.30
      2670.15      6355.20
      2682.70      6274.13
      2695.24      6205.60
      2707.79      6134.65
      2720.34      6059.21
      2732.89      5971.65
      2745.43      5903.25
      2757.98      5860.12
      2770.53      5796.09
      2783.07      5727.13
      2795.62      5662.39
      2808.17      5599.77
      2820.72      5537.79
      2833.26      5474.30
      2845.81      5413.55
      2858.36      5355.98
      2870.91      5299.87
      2883.45      5243.54
      2896.00      5188.00
      2908.55      5131.34
      2921.09      5073.61
      2933.64      5014.62
      2946.19      4958.36
      2958.74      4904.74
      2971.28      4848.32
      2983.83      4791.03
      2996.38      4734.14
      3008.93      4680.74
      3021.47      4630.17
      3034.02      4585.51
      3046.57      4544.04
      3059.11      4504.26
      3071.66      4458.11
      3084.21      4410.32
      3096.76      4362.22
      3109.30      4314.71
      3121.85      4267.72
      3134.40      4222.18
      3146.95      4181.77
      3159.49      4144.86
      3172.04      4105.33
      3184.59      4059.63
      3197.13      4005.23
      3209.68      3958.03
      3222.23      3918.73
      3234.78      3896.65
      3247.32      3972.34
      3259.87      4055.94
      3272.42      3834.47
      3284.97      3731.17
      3297.51      3651.78
      3310.06      3648.74
      3322.61      3654.74
      3335.15      3650.59
      3347.70      3554.16
      3360.25      3519.10
      3372.80      3452.67
      3385.34      3449.03
      3397.89      3381.26
      3410.44      3355.86
      3422.98      3347.10
      3435.53      3281.38
      3448.08      3245.08
      3460.63      3212.47
      3473.17      3181.53
      3485.72      3154.51
      3498.27      3154.91
      3510.82      3153.15
      3523.36      3114.04
      3535.91      3088.03
      3548.46      3012.86
      3561.00      2994.55
      3573.55      3011.19
      3586.10      2995.67
      3598.65      3011.17
      3611.19      2991.56
      3623.74      2946.34
      3636.29      2920.41
      3648.84      2939.41
      3661.38      2866.72
      3673.93      2809.58
      3686.48      2760.88
      3699.02      2696.74
      3711.57      2642.97
      3724.12      2640.60
      3736.67      2649.69
      3749.21      2637.12
      3761.76      2590.78
      3774.31      2639.57
      3786.86      2628.49
      3799.40      2607.61
      3811.95      2647.84
      3824.50      2594.86
      3837.04      2536.69
      3849.59      2537.76
      3862.14      2538.17
      3874.69      2438.80
      3887.23      2366.71
      3899.78      2403.51
      3912.33      2431.98
      3924.87      2399.49
      3937.42      2382.50
      3949.97      2398.09
      3962.52      2315.81
      3975.06      2318.65
      3987.61      2410.64
      4000.16      2434.92
      4012.71      2401.39
      4025.25      2340.36
      4037.80      2357.22
      4050.35      2389.66
      4062.89      2379.55
      4075.44      2356.33
      4087.99      2267.46
      4100.54      2193.03
      4113.08      2297.61
      4125.63      2398.28
      4138.18      2345.39
      4150.73      2276.12
      4163.27      2250.01
      4175.82      2226.86
      4188.37      2176.38
      4200.91      2125.79
      4213.46      2173.96
      4226.01      2148.54
      4238.56      2122.44
      4251.10      2120.69
      4263.65      2094.03
      4276.20      2102.21
      4288.74      2104.08
      4301.29      2084.61
      4313.84      2056.79
      4326.39      2010.91
      4338.93      1916.75
      4351.48      1945.34
      4364.03      1988.94
      4376.58      1962.83
      4389.12      1908.18
      4401.67      1903.43
      4414.22      1898.19
      4426.76      1857.41
      4439.31      1846.51
      4451.86      1849.37
      4464.41      1795.88
      4476.95      1791.30
      4489.50      1811.17
      4502.05      1793.05
      4514.60      1720.11
      4527.14      1707.79
      4539.69      1697.36
      4552.24      1705.45
      4564.78      1704.62
      4577.33      1686.79
      4589.88      1678.63
      4602.43      1684.25
      4614.97      1709.74
      4627.52      1741.04
      4640.07      1766.21
      4652.62      1708.19
      4665.16      1661.17
      4677.71      1657.46
      4690.26      1648.55
      4702.81      1614.86
