# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_4  B1V     -1.18  -0.27  -0.09  -0.21  -0.61  -0.81
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023      218.058
      524.570      261.689
      537.117      268.846
      549.664      294.360
      562.212      325.921
      574.759      346.368
      587.306      366.666
      599.853      403.387
      612.401      441.486
      624.948      474.010
      637.495      505.565
      650.042      534.937
      662.590      563.546
      675.137      593.784
      687.684      627.029
      700.231      660.378
      712.779      699.344
      725.326      741.857
      737.873      786.138
      750.420      836.518
      762.968      887.405
      775.515      929.707
      788.062      961.152
      800.609      992.574
      813.157      1016.66
      825.704      1022.92
      838.251      1028.38
      850.798      1044.17
      863.346      1108.42
      875.893      1178.86
      888.440      1338.55
      900.987      2427.07
      913.535      3762.03
      926.082      7653.88
      938.629      13846.1
      951.177      16038.4
      963.724      16807.6
      976.271      16080.5
      988.818      15629.1
      1001.37      16615.9
      1013.91      17662.7
      1026.46      18489.5
      1039.01      18963.4
      1051.55      18324.9
      1064.10      17945.0
      1076.65      18689.1
      1089.20      19245.5
      1101.74      18937.6
      1114.29      18522.9
      1126.84      17994.2
      1139.39      17524.2
      1151.93      17439.4
      1164.48      17116.2
      1177.03      16237.5
      1189.57      14953.1
      1202.12      13253.3
      1214.67      10736.5
      1227.22      12008.8
      1239.76      15820.1
      1252.31      17341.3
      1264.86      18390.5
      1277.41      19289.8
      1289.95      19218.4
      1302.50      18839.6
      1315.05      18560.6
      1327.59      18002.9
      1340.14      17426.1
      1352.69      17845.0
      1365.24      18250.5
      1377.78      18288.5
      1390.33      16532.3
      1402.88      15141.9
      1415.42      16193.7
      1427.97      16366.3
      1440.52      16034.1
      1453.07      16247.0
      1465.61      16443.0
      1478.16      16503.2
      1490.71      16318.9
      1503.26      16264.4
      1515.80      16651.8
      1528.35      15596.8
      1540.90      13897.9
      1553.44      12908.8
      1565.99      12914.1
      1578.54      13782.6
      1591.09      13382.4
      1603.63      12676.4
      1616.18      12031.6
      1628.73      11858.2
      1641.28      11935.1
      1653.82      12088.8
      1666.37      12420.7
      1678.92      12836.3
      1691.46      12548.8
      1704.01      12056.0
      1716.56      11516.0
      1729.11      11848.0
      1741.65      12335.7
      1754.20      11970.7
      1766.75      11693.5
      1779.30      11556.9
      1791.84      11389.5
      1804.39      11173.8
      1816.94      10885.7
      1829.48      10613.9
      1842.03      10373.2
      1854.58      10211.2
      1867.13      9945.53
      1879.67      9620.52
      1892.22      9464.66
      1904.77      9291.78
      1917.32      9041.61
      1929.86      8758.31
      1942.41      8537.83
      1954.96      8537.23
      1967.50      8433.14
      1980.05      8251.65
      1992.60      8097.04
      2005.15      7943.94
      2017.69      7787.65
      2030.24      7664.11
      2042.79      7538.37
      2055.33      7377.34
      2067.88      7161.02
      2080.43      6933.59
      2092.98      6829.90
      2105.52      6791.73
      2118.07      6804.75
      2130.62      6702.22
      2143.17      6589.64
      2155.71      6537.86
      2168.26      6454.04
      2180.81      6354.87
      2193.35      6276.97
      2205.90      6251.63
      2218.45      6278.05
      2231.00      6258.50
      2243.54      6186.64
      2256.09      6029.77
      2268.64      5954.92
      2281.19      5905.84
      2293.73      5783.81
      2306.28      5785.62
      2318.83      5910.20
      2331.37      5940.73
      2343.92      5937.66
      2356.47      5907.75
      2369.02      5738.10
      2381.56      5558.13
      2394.11      5581.96
      2406.66      5608.07
      2419.20      5615.72
      2431.75      5604.56
      2444.30      5581.67
      2456.85      5543.25
      2469.39      5459.80
      2481.94      5356.98
      2494.49      5253.18
      2507.04      5184.36
      2519.58      5140.82
      2532.13      5078.16
      2544.68      5014.52
      2557.22      4956.41
      2569.77      4909.30
      2582.32      4860.63
      2594.87      4795.72
      2607.41      4775.40
      2619.96      4776.68
      2632.51      4710.14
      2645.06      4622.13
      2657.60      4524.09
      2670.15      4487.04
      2682.70      4473.36
      2695.24      4466.40
      2707.79      4446.28
      2720.34      4411.05
      2732.89      4341.74
      2745.43      4286.46
      2757.98      4255.51
      2770.53      4215.26
      2783.07      4137.29
      2795.62      3976.60
      2808.17      3981.59
      2820.72      4061.39
      2833.26      4025.34
      2845.81      3971.12
      2858.36      3916.05
      2870.91      3890.31
      2883.45      3858.24
      2896.00      3794.97
      2908.55      3736.54
      2921.09      3678.04
      2933.64      3606.17
      2946.19      3561.87
      2958.74      3544.19
      2971.28      3494.75
      2983.83      3436.74
      2996.38      3378.77
      3008.93      3349.42
      3021.47      3329.62
      3034.02      3295.12
      3046.57      3272.29
      3059.11      3263.87
      3071.66      3273.28
      3084.21      3288.64
      3096.76      3305.87
      3109.30      3285.53
      3121.85      3248.58
      3134.40      3210.25
      3146.95      3175.72
      3159.49      3146.18
      3172.04      3130.24
      3184.59      3102.01
      3197.13      3050.28
      3209.68      3016.58
      3222.23      2995.71
      3234.78      2993.09
      3247.32      3009.86
      3259.87      3017.74
      3272.42      2900.75
      3284.97      2884.31
      3297.51      2938.93
      3310.06      2906.07
      3322.61      2898.57
      3335.15      2886.52
      3347.70      2827.49
      3360.25      2840.83
      3372.80      2830.23
      3385.34      2811.64
      3397.89      2784.85
      3410.44      2732.47
      3422.98      2715.83
      3435.53      2668.80
      3448.08      2704.19
      3460.63      2727.98
      3473.17      2651.14
      3485.72      2598.69
      3498.27      2572.68
      3510.82      2516.16
      3523.36      2502.36
      3535.91      2498.02
      3548.46      2466.36
      3561.00      2452.61
      3573.55      2429.05
      3586.10      2382.69
      3598.65      2339.02
      3611.19      2381.18
      3623.74      2336.19
      3636.29      2293.52
      3648.84      2295.95
      3661.38      2274.98
      3673.93      2246.79
      3686.48      2225.17
      3699.02      2176.29
      3711.57      2179.45
      3724.12      2164.27
      3736.67      2171.10
      3749.21      2205.81
      3761.76      2196.04
      3774.31      2226.80
      3786.86      2289.35
      3799.40      2198.63
      3811.95      2310.42
      3824.50      2243.10
      3837.04      2104.33
      3849.59      2354.66
      3862.14      2438.16
      3874.69      2303.74
      3887.23      2066.52
      3899.78      2163.93
      3912.33      2366.50
      3924.87      2361.03
      3937.42      2388.61
      3949.97      2364.27
      3962.52      2127.47
      3975.06      2001.83
      3987.61      2280.12
      4000.16      2374.38
      4012.71      2294.81
      4025.25      2218.63
      4037.80      2303.32
      4050.35      2334.19
      4062.89      2283.43
      4075.44      2202.01
      4087.99      2108.11
      4100.54      1889.08
      4113.08      1969.68
      4125.63      2167.62
      4138.18      2133.88
      4150.73      2118.08
      4163.27      2145.59
      4175.82      2152.58
      4188.37      2158.40
      4200.91      2135.80
      4213.46      2122.88
      4226.01      2109.75
      4238.56      2093.90
      4251.10      2086.24
      4263.65      2070.04
      4276.20      2032.79
      4288.74      1998.36
      4301.29      1996.19
      4313.84      1900.96
      4326.39      1753.55
      4338.93      1591.44
      4351.48      1680.66
      4364.03      1820.37
      4376.58      1859.30
      4389.12      1829.87
      4401.67      1867.23
      4414.22      1824.00
      4426.76      1782.54
      4439.31      1758.18
      4451.86      1764.41
      4464.41      1694.21
      4476.95      1659.48
      4489.50      1703.79
      4502.05      1714.86
      4514.60      1708.54
      4527.14      1693.25
      4539.69      1674.39
      4552.24      1661.37
      4564.78      1657.25
      4577.33      1656.79
      4589.88      1632.59
      4602.43      1604.37
      4614.97      1600.37
      4627.52      1584.19
      4640.07      1541.65
      4652.62      1544.11
      4665.16      1537.40
      4677.71      1523.56
      4690.26      1512.37
      4702.81      1489.07
      4715.35      1490.38
      4727.90      1514.66
      4740.45      1501.98
      4752.99      1483.32
      4765.54      1470.77
      4778.09      1464.04
      4790.64      1458.67
      4803.18      1432.63
      4815.73      1425.80
      4828.28      1422.53
      4840.82      1382.39
      4853.37      1251.63
      4865.92      1178.35
      4878.47      1311.05
      4891.01      1362.26
      4903.56      1349.35
      4916.11      1306.57
      4928.66      1296.72
      4941.20      1328.22
      4953.75      1329.21
      4966.30      1311.90
      4978.84      1299.16
      4991.39      1300.96
      5003.94      1259.61
      5016.49      1256.14
      5029.03      1267.44
      5041.58      1259.51
      5054.13      1260.99
      5066.67      1252.96
      5079.22      1233.69
      5091.77      1221.41
      5104.32      1205.04
      5116.86      1190.26
      5129.41      1181.74
      5141.96      1176.50
      5154.51      1165.68
      5167.05      1165.60
      5179.60      1160.58
      5192.15      1157.30
      5204.69      1146.32
      5217.24      1135.51
      5229.79      1121.41
      5242.34      1107.20
      5254.88      1106.93
      5267.43      1111.15
      5279.98      1096.08
      5292.53      1096.83
      5305.07      1072.01
      5317.62      1068.73
      5330.17      1058.20
      5342.71      1050.51
      5355.26      1045.55
      5367.81      1049.03
      5380.36      1049.11
      5392.90      1035.90
      5405.45      1027.17
      5418.00      1026.10
      5430.55      1042.89
      5443.09      1018.85
      5455.64      999.372
      5468.19      996.154
      5480.73      985.583
      5493.28      976.657
      5505.83      987.978
      5518.38      991.549
      5530.92      979.746
      5543.47      977.898
      5556.02      963.148
      5568.57      957.710
      5581.11      960.466
      5593.66      948.656
      5606.21      946.706
      5618.75      935.954
      5631.30      928.098
      5643.85      921.281
      5656.40      914.543
      5668.94      912.134
      5681.49      901.518
      5694.04      900.987
      5706.58      890.819
      5719.13      890.370
      5731.68      879.473
      5744.23      874.419
      5756.77      873.084
      5769.32      865.818
      5781.87      858.194
      5794.41      858.025
      5806.96      858.026
      5819.51      857.276
      5832.06      853.727
      5844.60      843.664
      5857.15      824.249
      5869.70      808.323
      5882.25      798.708
      5894.79      803.851
      5907.34      806.410
      5919.89      806.604
      5932.44      809.096
      5944.98      808.408
      5957.53      802.611
      5970.08      798.019
      5982.62      794.407
      5995.17      792.305
      6007.72      789.224
      6020.27      784.955
      6032.81      778.030
      6045.36      774.612
      6057.91      776.549
      6070.45      781.587
      6083.00      787.645
      6095.55      793.644
      6108.10      790.605
      6120.64      781.039
      6133.19      765.907
      6145.74      755.499
      6158.29      750.638
      6170.83      738.682
      6183.38      729.128
      6195.93      729.611
      6208.47      730.491
      6221.02      729.716
      6233.57      722.004
      6246.12      714.399
      6258.66      707.588
      6271.21      699.422
      6283.76      693.640
      6296.30      693.291
      6308.85      691.690
      6321.40      689.803
      6333.95      689.868
      6346.49      688.305
      6359.04      685.175
      6371.59      682.997
      6384.14      680.526
      6396.68      677.261
      6409.23      672.973
      6421.78      668.594
      6434.32      665.206
      6446.87      660.812
      6459.42      655.143
      6471.97      646.970
      6484.51      640.766
      6497.06      638.528
      6509.61      634.297
      6522.16      627.289
      6534.70      614.328
      6547.25      593.874
      6559.80      573.192
      6572.34      583.007
      6584.89      599.685
      6597.44      616.698
      6609.99      617.026
      6622.53      612.983
      6635.08      613.710
      6647.63      610.328
      6660.18      603.765
      6672.72      596.756
      6685.27      594.550
      6697.82      598.377
      6710.36      598.542
      6722.91      596.666
      6735.46      592.982
      6748.01      592.034
      6760.55      591.360
      6773.10      583.401
      6785.65      581.335
      6798.20      587.666
      6810.74      594.890
      6823.29      603.433
      6835.84      613.468
      6848.38      600.404
      6860.93      575.535
      6873.48      555.779
      6886.03      548.358
      6898.57      553.692
      6911.12      560.882
      6923.67      561.457
      6936.21      547.766
      6948.76      542.302
      6961.31      541.021
      6973.86      538.777
      6986.40      537.471
      6998.95      537.057
      7011.50      536.069
      7024.05      533.655
      7036.59      528.950
      7049.14      523.285
      7061.69      517.539
      7074.23      512.795
      7086.78      512.980
      7099.33      516.360
      7111.88      512.269
      7124.42      507.032
      7136.97      502.869
      7149.52      502.589
      7162.07      502.098
      7174.61      496.247
      7187.16      491.235
      7199.71      487.498
      7212.25      485.185
      7224.80      480.076
      7237.35      470.586
      7249.90      464.937
      7262.44      460.751
      7274.99      456.488
      7287.54      458.756
      7300.09      464.786
      7312.63      466.143
      7325.18      463.270
      7337.73      456.300
      7350.27      455.654
      7362.82      456.892
      7375.37      457.461
      7387.92      457.673
      7400.46      457.026
      7413.01      452.826
      7425.56      450.888
      7438.11      451.885
      7450.65      447.224
      7463.20      442.157
      7475.75      440.013
      7488.29      437.222
      7500.84      435.596
      7513.39      441.270
      7525.94      449.908
      7538.48      460.636
      7551.03      470.852
      7563.58      475.155
      7576.12      466.362
      7588.67      426.432
      7601.22      389.964
      7613.77      429.502
      7626.31      444.631
      7638.86      427.263
      7651.41      416.899
      7663.96      403.260
      7676.50      381.087
      7689.05      381.446
      7701.60      391.838
      7714.15      399.588
      7726.69      401.723
      7739.24      399.816
      7751.79      402.226
      7764.33      402.506
      7776.88      397.578
      7789.43      392.681
      7801.98      388.874
      7814.52      388.303
      7827.07      387.765
      7839.62      387.133
      7852.16      387.344
      7864.71      385.689
      7877.26      381.056
      7889.81      378.779
      7902.35      378.442
      7914.90      380.961
      7927.45      380.036
      7939.99      376.785
      7952.54      375.263
      7965.09      374.875
      7977.64      375.384
      7990.18      373.217
      8002.73      369.973
      8015.28      366.526
      8027.83      365.019
      8040.37      365.602
      8052.92      369.983
      8065.47      371.521
      8078.02      368.772
      8090.56      366.743
      8103.11      365.918
      8115.66      367.199
      8128.20      361.848
      8140.75      352.939
      8153.30      346.045
      8165.85      343.059
      8178.39      344.332
      8190.94      347.891
      8203.49      349.675
      8216.03      346.474
      8228.58      346.695
      8241.13      350.152
      8253.68      358.483
      8266.22      355.261
      8278.77      341.204
      8291.32      338.824
      8303.86      342.210
      8316.41      350.051
      8328.96      343.554
      8341.51      331.515
      8354.05      324.903
      8366.60      324.504
      8379.15      327.978
      8391.70      322.705
      8404.24      320.155
      8416.79      325.604
      8429.34      326.700
      8441.88      327.484
      8454.43      333.820
      8466.98      334.945
      8479.53      331.522
      8492.07      329.380
      8504.62      330.014
      8517.17      333.965
      8529.72      329.214
      8542.26      323.565
      8554.81      325.466
      8567.36      319.867
      8579.90      310.006
      8592.45      310.328
      8605.00      310.204
      8617.55      306.954
      8630.09      306.497
      8642.64      305.718
      8655.19      301.180
      8667.73      294.010
      8680.28      290.232
      8692.83      311.647
      8705.38      325.258
      8717.92      322.712
      8730.47      311.552
      8743.02      302.291
      8755.57      304.116
      8768.11      305.857
      8780.66      308.012
      8793.21      314.321
      8805.76      314.303
      8818.30      305.792
      8830.85      293.281
      8843.40      284.736
      8855.94      286.840
      8868.49      282.919
      8881.04      278.095
      8893.59      284.152
      8906.13      292.311
      8918.68      300.232
      8931.23      300.227
      8943.78      298.186
      8956.32      295.895
      8968.87      284.945
      8981.42      271.774
      8993.96      266.543
      9006.51      264.330
      9019.06      266.213
      9031.61      283.579
      9044.15      290.117
      9056.70      272.198
      9069.25      269.468
      9081.80      274.419
      9094.34      280.359
      9106.89      277.578
      9119.44      267.840
      9131.98      261.224
      9144.53      258.062
      9157.08      259.711
      9169.63      268.924
      9182.17      275.313
      9194.72      264.317
      9207.27      253.750
      9219.81      246.379
      9232.36      248.522
      9244.91      256.492
      9257.46      269.231
      9270.00      270.766
      9282.55      269.338
      9295.10      271.114
      9307.65      264.863
      9320.19      257.736
      9332.74      275.498
      9345.29      283.812
      9357.83      274.509
      9370.38      268.105
      9382.93      274.606
      9395.48      307.920
      9408.02      289.671
      9420.57      245.338
      9433.12      234.177
      9445.66      239.814
      9458.21      254.144
      9470.76      220.918
      9483.31      201.143
      9495.85      241.880
      9508.40      269.625
      9520.95      278.780
      9533.50      250.883
      9546.04      232.052
      9558.59      230.328
      9571.14      243.071
      9583.69      254.048
      9596.23      253.620
      9608.78      252.587
      9621.33      250.688
      9633.87      245.584
      9646.42      242.024
      9658.97      241.516
      9671.52      250.522
      9684.06      252.888
      9696.61      239.829
      9709.16      236.226
      9721.71      238.209
      9734.25      242.790
      9746.80      240.870
      9759.35      234.388
      9771.89      236.156
      9784.44      237.520
      9796.99      235.348
      9809.53      235.456
      9822.08      237.659
