15  # Number of entries
# The following aberrations are in waves at 486 nm.
# The focus value has desorption removed.
# Date of         Focus  X-Astig  Y-Astig  X-Coma  Y-Coma  Spherical
# Fit (dmy)        Z4      Z5       Z6       Z7      Z8       Z11
#-----------------------------------------------------------------
 24   4  1990    7.4474  -0.057    0.032    0.054   0.159   -0.564
 20   5  1990   -0.2206  -0.057    0.032    0.054   0.159   -0.538
 15   6  1990   -1.1545   0.094   -0.045    0.204   0.013   -0.534
 25   6  1990    0.7254  -0.057    0.032    0.054   0.160   -0.540
 23   7  1990   -1.4071   0.005    0.001   -0.024   0.082   -0.533
 15   8  1990   -1.2602   0.077   -0.021   -0.025   0.081   -0.533
 26  10  1990   -1.0037   0.077   -0.021   -0.025   0.081   -0.533
 17  12  1990   -1.0070  -0.001    0.002   -0.025   0.081   -0.532
 22   2  1991   -0.5269  -0.0395  -0.0481   0.0348  0.0658  -0.533
 22   3  1991   -0.5269   0.005    0.000    0.140  -0.083   -0.533
  6   4  1991   -0.5269  -0.0395  -0.0481   0.0348  0.0658  -0.533
 11   4  1991   -0.3427  -0.0395  -0.0481   0.0348  0.0658  -0.533
 17   3  1992   -0.2755  -0.0395  -0.0481   0.0348  0.0658  -0.533
 23   8  1992   -0.1047  -0.0395  -0.0481   0.0348  0.0658  -0.533
 25  11  1992   -0.0902  -0.0395  -0.0481   0.0348  0.0658  -0.533
