# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_1  O5      -1.42  -0.34  -0.14  -0.29  -0.76  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      4050.35      2412.36
      4062.89      2367.74
      4075.44      2317.71
      4087.99      2262.65
      4100.54      2129.80
      4113.08      2204.48
      4125.63      2288.96
      4138.18      2322.76
      4150.73      2265.69
      4163.27      2239.15
      4175.82      2238.23
      4188.37      2186.06
      4200.91      2147.54
      4213.46      2166.30
      4226.01      2172.61
      4238.56      2171.77
      4251.10      2173.70
      4263.65      2170.85
      4276.20      2149.78
      4288.74      2147.04
      4301.29      2138.21
      4313.84      2072.99
      4326.39      1982.23
      4338.93      1889.95
      4351.48      1956.66
      4364.03      2012.28
      4376.58      1980.39
      4389.12      1944.85
      4401.67      1925.26
      4414.22      1900.19
      4426.76      1856.42
      4439.31      1844.52
      4451.86      1875.34
      4464.41      1866.25
      4476.95      1823.33
      4489.50      1810.34
      4502.05      1786.91
      4514.60      1787.65
      4527.14      1738.27
      4539.69      1688.88
      4552.24      1700.61
      4564.78      1751.87
      4577.33      1732.52
      4589.88      1712.80
      4602.43      1703.28
      4614.97      1720.93
      4627.52      1707.96
      4640.07      1687.29
      4652.62      1657.81
      4665.16      1635.89
      4677.71      1576.78
      4690.26      1544.32
      4702.81      1573.07
      4715.35      1564.45
      4727.90      1568.60
      4740.45      1535.74
      4752.99      1514.55
      4765.54      1511.99
      4778.09      1524.47
      4790.64      1498.98
      4803.18      1470.74
      4815.73      1464.68
      4828.28      1453.94
      4840.82      1434.05
      4853.37      1324.59
      4865.92      1277.13
      4878.47      1367.97
      4891.01      1384.28
      4903.56      1386.43
      4916.11      1385.53
      4928.66      1390.96
      4941.20      1383.05
      4953.75      1353.95
      4966.30      1336.53
      4978.84      1327.43
      4991.39      1319.50
      5003.94      1322.04
      5016.49      1312.42
      5029.03      1294.40
      5041.58      1286.33
      5054.13      1277.42
      5066.67      1261.21
      5079.22      1258.79
      5091.77      1256.51
      5104.32      1246.89
      5116.86      1238.00
      5129.41      1230.14
      5141.96      1227.91
      5154.51      1216.34
      5167.05      1196.77
      5179.60      1182.31
      5192.15      1170.89
      5204.69      1151.86
      5217.24      1144.55
      5229.79      1139.51
      5242.34      1126.65
      5254.88      1136.34
      5267.43      1126.92
      5279.98      1106.77
      5292.53      1098.59
      5305.07      1091.01
      5317.62      1086.52
      5330.17      1076.69
      5342.71      1067.64
      5355.26      1065.73
      5367.81      1050.67
      5380.36      1039.07
      5392.90      1034.29
      5405.45      1007.65
      5418.00      979.784
      5430.55      998.552
      5443.09      996.238
      5455.64      994.916
      5468.19      988.113
      5480.73      979.901
      5493.28      977.862
      5505.83      978.894
      5518.38      973.600
      5530.92      979.144
      5543.47      973.400
      5556.02      966.381
      5568.57      971.369
      5581.11      959.927
      5593.66      942.556
      5606.21      933.193
      5618.75      919.308
      5631.30      909.057
      5643.85      903.002
      5656.40      897.414
      5668.94      891.861
      5681.49      886.341
      5694.04      880.893
      5706.58      875.463
      5719.13      870.061
      5731.68      864.731
      5744.23      856.906
      5756.77      845.031
      5769.32      842.086
      5781.87      842.384
      5794.41      840.479
      5806.96      838.705
      5819.51      837.063
      5832.06      833.893
      5844.60      828.486
      5857.15      819.809
      5869.70      808.670
      5882.25      798.298
      5894.79      793.223
      5907.34      796.172
      5919.89      802.428
      5932.44      794.947
      5944.98      786.264
      5957.53      779.580
      5970.08      775.461
      5982.62      771.999
      5995.17      767.971
      6007.72      762.942
      6020.27      757.137
      6032.81      750.430
      6045.36      744.140
      6057.91      738.610
      6070.45      733.556
      6083.00      730.715
      6095.55      732.892
      6108.10      731.307
      6120.64      726.938
      6133.19      720.522
      6145.74      713.728
      6158.29      706.641
      6170.83      699.381
      6183.38      692.507
      6195.93      686.826
      6208.47      684.055
      6221.02      683.377
      6233.57      684.877
      6246.12      683.799
      6258.66      678.727
      6271.21      665.551
      6283.76      655.336
      6296.30      655.201
      6308.85      653.821
      6321.40      651.027
      6333.95      646.214
      6346.49      641.593
      6359.04      637.526
      6371.59      634.509
      6384.14      632.066
      6396.68      630.370
      6409.23      628.052
      6421.78      625.401
      6434.32      622.375
      6446.87      615.978
      6459.42      607.388
      6471.97      602.866
      6484.51      602.932
      6497.06      608.937
      6509.61      611.957
