# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_46  G2V      0.79   0.56   0.38   0.71   1.08   1.40
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      895.930  3.26928e-11
      908.286  1.00776e-10
      920.641  1.96650e-10
      932.996  4.28873e-10
      945.352  7.34784e-10
      957.707  1.11709e-09
      970.062  1.76545e-09
      982.417  2.57162e-09
      994.773  3.82938e-09
      1007.13  5.37352e-09
      1019.48  7.63296e-09
      1031.84  1.03834e-08
      1044.19  1.47745e-08
      1056.55  2.03752e-08
      1068.90  2.85397e-08
      1081.26  3.89849e-08
      1093.61  2.24737e-07
      1105.97  5.63268e-07
      1118.32  8.65935e-07
      1130.68  1.13072e-06
      1143.04  1.45997e-06
      1155.39  1.95277e-06
      1167.75  2.52627e-06
      1180.10  3.17306e-06
      1192.46  3.98063e-06
      1204.81  5.03623e-06
      1217.17  6.46056e-06
      1229.52  8.51349e-06
      1241.88  1.09489e-05
      1254.23  1.38775e-05
      1266.59  1.72299e-05
      1278.94  2.10579e-05
      1291.30  2.60925e-05
      1303.65  3.17547e-05
      1316.01  3.81669e-05
      1328.36  4.54233e-05
      1340.72  5.35305e-05
      1353.07  6.36410e-05
      1365.43  7.58626e-05
      1377.79  9.06669e-05
      1390.14  0.000108936
      1402.50  0.000129610
      1414.85  0.000154037
      1427.21  0.000183125
      1439.56  0.000216598
      1451.92  0.000258040
      1464.27  0.000304311
      1476.63  0.000356921
      1488.98  0.000422978
      1501.34  0.000885339
      1513.69   0.00290302
      1526.05   0.00501309
      1538.40   0.00692702
      1550.76   0.00752609
      1563.11   0.00809960
      1575.47   0.00947725
      1587.82    0.0112081
      1600.18    0.0131386
      1612.53    0.0151052
      1624.89    0.0170073
      1637.25    0.0187855
      1649.60    0.0201978
      1661.96    0.0554414
      1674.31     0.204049
      1686.67     0.326881
      1699.02     0.417617
      1711.38     0.490955
      1723.73     0.573773
      1736.09     0.682124
      1748.44     0.718207
      1760.80     0.745332
      1773.15     0.905960
      1785.51     0.992478
      1797.86     0.962563
      1810.22     0.874488
      1822.57     0.801350
      1834.93     0.821921
      1847.28     0.922983
      1859.64      1.07258
      1872.00      1.18937
      1884.35      1.31060
      1896.71      1.45146
      1909.06      1.62764
      1921.42      1.76101
      1933.77      1.66886
      1946.13      1.62079
      1958.48      1.67023
      1970.84      2.02344
      1983.19      2.35752
      1995.55      2.46183
      2007.90      3.36599
