# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_53  G8V      1.16   0.75   0.52   0.94   1.40   1.84
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      895.930  2.25341e-11
      908.286  6.94621e-11
      920.641  1.35545e-10
      932.996  2.95608e-10
      945.352  5.06463e-10
      957.707  7.69976e-10
      970.062  1.21686e-09
      982.417  1.77252e-09
      994.773  2.63943e-09
      1007.13  3.70375e-09
      1019.48  5.26114e-09
      1031.84  7.15695e-09
      1044.19  1.01838e-08
      1056.55  1.40445e-08
      1068.90  1.96721e-08
      1081.26  2.68716e-08
      1093.61  1.54903e-07
      1105.97  3.88240e-07
      1118.32  5.96860e-07
      1130.68  7.79367e-07
      1143.04  1.00632e-06
      1155.39  1.34603e-06
      1167.75  1.74130e-06
      1180.10  2.18706e-06
      1192.46  2.74372e-06
      1204.81  3.47136e-06
      1217.17  4.45318e-06
      1229.52  5.86818e-06
      1241.88  7.54681e-06
      1254.23  9.56533e-06
      1266.59  1.18760e-05
      1278.94  1.45147e-05
      1291.30  1.79847e-05
      1303.65  2.18874e-05
      1316.01  2.63077e-05
      1328.36  3.13098e-05
      1340.72  3.68980e-05
      1353.07  4.38658e-05
      1365.43  5.22892e-05
      1377.79  6.24934e-05
      1390.14  7.50859e-05
      1402.50  8.93356e-05
      1414.85  0.000106173
      1427.21  0.000126223
      1439.56  0.000149294
      1451.92  0.000177860
      1464.27  0.000209753
      1476.63  0.000246012
      1488.98  0.000291540
      1501.34  0.000610226
      1513.69   0.00200093
      1526.05   0.00345540
      1538.40   0.00477476
      1550.76   0.00518772
      1563.11   0.00558297
      1575.47   0.00653229
      1587.82   0.00772525
      1600.18   0.00905592
      1612.53    0.0104115
      1624.89    0.0117226
      1637.25    0.0129484
      1649.60    0.0139219
      1661.96    0.0382142
      1674.31     0.140645
      1686.67     0.225311
      1699.02     0.287856
      1711.38     0.338394
      1723.73     0.395467
      1736.09     0.470147
      1748.44     0.495023
      1760.80     0.513726
      1773.15     0.624437
      1785.51     0.684075
      1797.86     0.663470
      1810.22     0.602764
      1822.57     0.552351
      1834.93     0.566530
      1847.28     0.636188
      1859.64     0.739296
      1872.00     0.819798
      1884.35     0.903362
      1896.71      1.00046
      1909.06      1.12188
      1921.42      1.21379
      1933.77      1.15028
      1946.13      1.11715
      1958.48      1.15123
      1970.84      1.39469
      1983.19      1.62497
      1995.55      1.69687
      2007.90      2.32008
      2020.26      2.49362
      2032.61      2.83619
      2044.97      3.47739
      2057.32      3.65498
      2069.68      4.29953
      2082.03      5.40486
      2094.39      6.08571
      2106.74      6.51019
      2119.10      7.65085
      2131.46      7.21802
      2143.81      9.26252
      2156.17      8.58593
      2168.52      7.85726
      2180.88      10.0982
      2193.23      10.8259
      2205.59      10.7541
      2217.94      10.2666
      2230.30      13.7609
      2242.65      14.0411
      2255.01      12.3870
      2267.36      8.89508
      2279.72      11.4058
      2292.07      11.4593
      2304.43      12.0879
      2316.78      11.8829
      2329.14      11.7771
      2341.49      9.39540
      2353.85      12.2912
      2366.20      11.6649
      2378.56      10.6606
      2390.92      10.9122
      2403.27      9.92067
      2415.63      12.8395
      2427.98      16.5574
      2440.34      15.3349
      2452.69      12.3302
      2465.05      12.3154
      2477.40      12.9549
      2489.76      11.5008
      2502.11      14.6306
      2514.47      11.4329
      2526.82      11.0271
      2539.18      13.9592
      2551.53      17.8887
