#   Date                    Aberrations in Microns RMS (V2,V3 system)                          -------- Cold Mask -------     OTA     Pixsize
#dd mm yyyy      Z4        Z5        Z6        Z7        Z8        Z9        Z10       Z11       X         Y        Rot       Rot     arcsec 
#--------------------------------------------------------------------------------------------------------------------------------------------
 15  4 1997   -0.3769    0.0300    0.0000   -0.0037    0.0349    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
  1  7 1997   -0.2066    0.0300    0.0000   -0.0068    0.0402    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
  1  9 1997   -0.2178    0.0300    0.0000   -0.0093    0.0444    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
 11  1 1998   -0.1239    0.0300    0.0000   -0.0146    0.0534    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
 12  1 1998   -0.0133    0.0120    0.0520   -0.0146    0.0535    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
  1  2 1998   -0.0133    0.0120    0.0520   -0.0154    0.0549    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
  2  2 1998   -0.0959    0.0120    0.0520   -0.0154    0.0549    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
  3  6 1998   -0.1163    0.0120    0.0520   -0.0203    0.0632    0.0116    0.0035   -0.0122   -0.0430    0.0190   -0.1500    0.0000   0.2000
  4  6 1998   -0.0428    0.0120    0.0520   -0.0203    0.0633    0.0116    0.0035   -0.0122    0.0000    0.0000   -0.1500    0.0000   0.2000
 28  6 1998   -0.0428    0.0120    0.0520   -0.0213    0.0649    0.0116    0.0035   -0.0122    0.0000    0.0000   -0.1500    0.0000   0.2000
 29  6 1998   -0.1510    0.0120    0.0520   -0.0213    0.0650    0.0116    0.0035   -0.0122    0.0000    0.0000   -0.1500    0.0000   0.2000
  1  9 1998   -0.1525    0.0120    0.0520   -0.0239    0.0694    0.0116    0.0035   -0.0122    0.0000    0.0000   -0.1500    0.0000   0.2000
 31 12 1998   -0.1275    0.0120    0.0520   -0.0287    0.0776    0.0116    0.0035   -0.0122    0.0000    0.0000   -0.1500    0.0000   0.2000
